X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,EXIT_TO_ST,FEATURECOD,DESCRIPTIO,CAPTUREYEA,LINE,ADDRESS_ID,ADDRESS
-77.12041015769195,39.06234039191196,180,mstn_080,TWINBROOK,http://www.wmata.com/rail/station_detail.cfm?station_id=16,WEST SIDE OF CHAPMAN AVE ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,,"12600 PARKLAWN AVENUE, ROCKVILLE, MD 20852"
-77.021567422353272,38.897544239524471,181,mstn_019,GALLERY PL | CHINATOWN,http://www.wmata.com/rail/station_detail.cfm?station_id=21,NE CORNER OF 7TH STREET NW AND F STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"red, green, yellow",294833,"625 7TH STREET NW, WASHINGTON, DC 20001"
-77.021734820861482,38.897933539299096,182,mstn_019,GALLERY PL | CHINATOWN ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=21,NE CORNER OF 7TH STREET NW AND F STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"red, green, yellow",294833,"625 7TH STREET NW, WASHINGTON, DC 20001"
-77.165002347374553,39.119907824705926,183,mstn_075,SHADY GROVE,http://www.wmata.com/rail/station_detail.cfm?station_id=18,NE CORNER OF REDLAND RD AND SOMERVILLE DR ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,,"15903 SOMERVILLE DRIVE, ROCKVILLE, MD 20855"
-77.034952567634676,38.901137294222693,184,mstn_023,MCPHERSON SQUARE,http://www.wmata.com/rail/station_detail.cfm?station_id=36,SW CORNER OF VERMONT AVENUE NW AND I STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294841,"820 VERMONT ST NW, WASHINGTON, DC 20005"
-77.026794045414334,38.898080816151705,185,mstn_024,METRO CENTER,http://www.wmata.com/rail/station_detail.cfm?station_id=1,SE CORNER OF G STREET NW AND 11TH STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"red, blue, orange, silver",294812,"665 11TH STREET NW, WASHINGTON, DC 20005"
-77.027893882010915,38.898526550383629,186,mstn_024,METRO CENTER,http://www.wmata.com/rail/station_detail.cfm?station_id=1,NE CORNER OF G STREET NW AND 12TH STREET NW ,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"red, blue, orange, silver",294812,"701 12TH STREET NW, WASHINGTON, DC 20005"
-77.028572360293239,38.897154966543724,187,mstn_024,METRO CENTER,http://www.wmata.com/rail/station_detail.cfm?station_id=1,SW CORNER OF 12TH ST NW AND F ST NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"red, blue, orange, silver",294812,"1200 F STREET NW, WASHINGTON, DC 20005"
-77.029383962952593,38.898033794104805,188,mstn_024,METRO CENTER,http://www.wmata.com/rail/station_detail.cfm?station_id=1,SE CORNER OF G STREET NW AND 13TH STREET NW ,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"red, blue, orange, silver",294812,"607 13TH STREET NW, WASHINGTON, DC 20005"
-77.003430469519884,38.907286966243362,189,mstn_029,NOMA | GALLAUDET U | NEW YORK AVE,http://www.wmata.com/rail/station_detail.cfm?station_id=108,EAST SIDE OF 2ND STREET NE AT INTERSECTION WITH N STREET NE ,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294857,"200 FLORIDA AVENUE NE, WASHINGTON, DC  20002"
-76.996074682808384,38.920478494095256,190,mstn_031,RHODE ISLAND AVE | BRENTWOOD,http://www.wmata.com/rail/station_detail.cfm?station_id=26,SOUTH SIDE OF RHODE ISLAND AVENUE NE AT RHODE ISLAND PLACE SHOPPING CENTER,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294859,"919 RHODE ISLAND AVENUE NE, WASHINGTON, DC 20018"
-77.028566457950689,38.887383714603303,191,mstn_033,SMITHSONIAN,http://www.wmata.com/rail/station_detail.cfm?station_id=54,SW CORNER OF INDEPENDENCE AVENUE SW AND 12TH STREET SW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294876,"1200 INDEPENDENCE AVENUE SW, WASHINGTON, DC 20004"
