,MSSR_1.0,Turnover,PctOfHomesIncreasingInValues,mimi,HS_StudentTeachRatio,MS_StudentTeachRatio,count_metro_bus_km,PriceIndex,FreddieMac15yr,distance_public_school_arts_center_km,MSSR_2.0,ListDate_dt_month,HSSR_1.0,CloseDate_dt_month,qcut_CloseDate_dt_month
11259,0.0,5.2932,80.88,67.6,15.2,13.5,21,174.6158156,2.86,2.6221422092,0.0,8,0.0,9,0
11260,0.0,4.4328,84.42,71.2,15.2,13.5,22,179.37516409999995,2.76,3.8601989614,0.0,3,0.0,3,0
11261,0.0,4.5642,87.7,72.6,15.2,15.0,20,185.6306252,2.72,4.4672744894,0.0,5,0.0,5,0
11262,0.0,4.2989999999999995,45.17,66.8,13.2,13.1,56,165.25843500000005,3.68,4.4313456475,0.0,11,0.0,11,0
11263,0.0,4.07,42.53,68.6,13.2,13.1,20,164.18939319999996,4.06,4.4343603886,0.0,12,0.0,1,0
11264,1.0,3.6706,36.35,66.9,15.5,11.5,78,174.1138544,2.85,9.8460093279,0.0,7,1.0,7,0
11265,1.0,5.1186,12.41,68.0,7.1,11.5,78,168.89499540000003,3.69,9.8460093279,0.0,6,1.0,7,0
11266,1.0,4.5408,94.23,78.8,15.5,11.5,78,188.6493901,3.3,9.8460093279,0.0,11,1.0,11,0
11267,0.0,4.0916,82.19,79.0,13.0,14.6,78,195.8744368,3.24,9.8460093279,1.0,7,1.0,7,0
11268,1.0,4.043,17.46,66.3,7.1,11.5,78,164.6735404,3.25,9.8460093279,0.0,12,1.0,10,0
11269,1.0,4.2892,92.66,78.5,15.5,11.5,78,189.6382211,3.49,9.8460093279,0.0,8,1.0,8,0
11270,1.0,3.7308,72.07,68.5,15.5,11.5,69,174.7804831,2.66,9.1580164317,0.0,12,1.0,4,0
11271,0.0,3.4146,8.27,69.4,12.6,9.7,64,165.8540725,4.44,3.4675790458999995,0.0,1,0.0,4,0
11272,0.0,4.2428,59.11,67.1,13.2,13.1,20,166.7851862,3.81,4.5310949845,0.0,9,0.0,10,0
11273,0.0,6.0004,61.4,78.7,13.9,12.4,21,195.0863121,3.25,2.6273154007,0.0,8,0.0,10,0
11274,0.0,4.0508,36.8,66.1,12.6,11.5,71,164.0254855,3.2,3.5730707086,1.0,1,0.0,2,0
11275,1.0,3.7737,64.57,67.9,15.5,11.5,73,174.9641855,2.66,9.074327648099999,0.0,11,1.0,2,0
11276,0.0,3.6773,27.15,68.0,12.6,9.7,64,169.4708133,4.04,3.4997142549,0.0,7,0.0,7,0
11277,0.0,4.3411,43.85,67.0,15.2,15.0,41,165.9509441,3.2,3.7654762127,0.0,3,0.0,4,0
11278,0.0,4.2421,40.08,66.2,14.8,15.0,20,166.74153180000005,3.35,4.5575004980000005,0.0,10,0.0,2,0
11279,0.0,3.9726,35.79,69.5,14.8,13.5,29,164.60666940000004,4.08,3.3250337228,0.0,3,0.0,6,0
11280,1.0,3.7652,42.11,67.6,15.5,11.5,87,174.6158156,2.86,9.9744025397,0.0,8,1.0,9,0
11281,1.0,4.374,26.44,69.5,11.7,9.0,76,166.5574036,4.06,2.0359477179,0.0,4,0.0,6,0
11282,0.0,4.2197,72.67,67.2,12.6,11.5,71,171.19616330000005,3.03,3.5849911578,1.0,5,0.0,7,0
11283,0.0,4.5779,88.35,79.6,13.9,14.6,37,194.8306605,3.29,4.8494652924,0.0,5,0.0,7,0
11284,0.0,3.6913,39.88,68.6,15.0,11.5,64,163.3011429,4.09,3.3794522527,1.0,1,1.0,9,0
11285,1.0,4.043,17.46,66.3,7.1,11.5,89,164.6735404,3.25,9.9679002623,0.0,12,1.0,3,0
11286,0.0,4.498,94.59,80.3,13.0,14.6,65,190.6250739,3.36,8.9595874356,1.0,3,1.0,3,0
11287,1.0,4.3145,78.13,79.0,15.1,13.4,67,194.4612831,3.31,3.4251750508,0.0,9,0.0,9,0
11288,0.0,4.3503,64.62,78.7,13.9,12.4,32,195.0863121,3.25,3.1935551561,0.0,8,0.0,8,0
11289,0.0,4.1088,53.36,69.3,13.2,13.1,36,167.1401414,4.33,4.7164156237,0.0,3,0.0,4,0
11290,1.0,5.1894,12.58,68.6,7.1,11.5,80,163.3011429,4.09,9.8518573178,0.0,1,1.0,2,0
11291,0.0,3.719,80.35,66.9,15.2,15.0,20,174.1138544,2.85,4.4623660667000005,0.0,7,0.0,7,0
11292,0.0,4.3183,32.83,68.0,14.8,13.5,29,168.89499540000003,3.69,3.6173566427,0.0,6,0.0,6,0
11293,1.0,4.0604,13.89,66.2,7.1,11.5,74,166.74153180000005,3.35,9.756473414,0.0,10,1.0,12,0
11294,1.0,4.2892,92.66,78.5,15.5,11.5,89,189.6382211,3.49,9.9888013046,0.0,8,1.0,10,0
11295,0.0,4.5565,81.53,79.3,13.9,12.4,30,195.9526553,3.27,3.2244364555,0.0,6,0.0,6,0
11296,0.0,4.3013,80.69,68.5,15.2,15.0,20,174.7804831,2.66,4.6334071622,0.0,12,0.0,12,0
11297,0.0,4.5779,88.35,79.6,13.9,12.4,27,194.8306605,3.29,3.5204636489,0.0,5,0.0,11,0
11298,0.0,3.7447,72.21,68.0,13.2,13.1,43,169.4708133,4.04,3.78097338,0.0,7,0.0,1,0
11299,1.0,3.8521,21.68,67.0,15.5,11.5,88,165.9509441,3.2,9.9710438831,0.0,3,1.0,10,0
11300,1.0,4.0058,88.87,72.6,15.5,11.5,88,185.6306252,2.72,9.9710438831,0.0,5,1.0,10,0
11301,1.0,3.9739999999999998,20.17,66.1,15.5,11.5,88,164.0254855,3.2,9.9710438831,0.0,1,1.0,1,0
11302,1.0,4.043,17.46,66.3,7.1,11.5,88,164.6735404,3.25,9.9710438831,0.0,12,1.0,11,0
11303,0.0,4.8648,89.68,77.3,15.2,13.5,27,189.27894,3.43,3.5259038748,0.0,7,0.0,6,0
11304,0.0,4.3503,64.62,78.7,13.9,14.6,20,195.0863121,3.25,4.5851468259,0.0,8,0.0,8,0
11305,0.0,3.6686,92.84,68.5,12.6,11.5,75,174.7804831,2.66,2.8605514827,1.0,12,0.0,1,0
11306,1.0,4.475,84.09,78.7,15.1,13.4,65,195.0863121,3.25,3.4418956045,0.0,8,0.0,9,0
11307,1.0,5.2219,12.09,68.0,10.0,11.9,81,169.4708133,4.04,9.9109761814,0.0,7,1.0,8,0
11308,0.0,3.8829,33.85,67.1,12.6,9.7,67,166.7851862,3.81,3.497325535,0.0,9,0.0,10,0
11309,0.0,5.2054,73.36,67.1,15.2,13.5,20,173.0314193,2.95,2.7056120853,0.0,6,0.0,8,0
11310,0.0,4.2428,61.74,68.0,13.2,13.1,18,169.4708133,4.04,4.5695654595,0.0,7,0.0,2,0
11311,0.0,3.6913,39.88,68.6,15.0,11.5,68,163.3011429,4.09,3.1141858983,1.0,1,1.0,10,0
11312,1.0,4.3145,78.13,79.0,15.1,13.4,67,194.4612831,3.31,3.5007116091,0.0,9,0.0,10,0
