,Bedrooms,distance_public_school_mid_km,distance_public_school_elem_km,distance_public_school_edu_campus_km,distance_metro_station_km,distance_metro_bus_km,distance_grocery_km,distance_cap_gain_school_km,count_metro_bus_km,AvgFamilyIncAdj_2010_14,mimi,FreddieMac15yr,PriceIndex,zip_20007,BathsHalf,PctOfHomesDecreasingInValues,MedianValuePerSqft,SaleCount,TaxTotalLivingArea,BathsFull,Levels,TotalTaxes2,Fireplaces,Acres,DOMP,ListPrice2,qcut_ListPrice2
12542,3,1.9324628922,0.7091485524,4.2631699362,0.652908101,0.0388987451,0.4472224256,2.2115578993,69,92969.0,67.0,3.46,168.14317490000005,0.0,0.0,60.22,235.0,1,1752.0,1,4,3244.0,1,0.065,5,425000,0
12543,2,3.1259894411,0.3765327236,5.697417596699999,1.6319029369999998,0.1310973081,0.9354315354,1.0248390024,66,92969.0,80.5,3.48,188.1721628,0.0,0.0,1.38,297.0,1,650.0,1,1,1629.0,0,0.0,114,235000,0
12544,2,3.1259894411,0.3765327236,5.697417596699999,1.6319029369999998,0.1310973081,0.9354315354,1.0248390024,66,92969.0,78.8,3.3,188.6493901,0.0,0.0,1.33,294.0,1,630.0,1,1,0.0,0,0.0,31,225000,0
12545,2,1.4222637328,0.2387653223,1.2199260888,0.1089010933,0.1335680196,0.590959198,2.6404760358000003,110,108639.0,79.0,3.24,195.8744368,0.0,0.0,10.65,512.0,1,864.0,1,2,2999.0,0,0.013,5,450000,0
12546,4,0.5288024539,0.2902159009,3.5217425349,1.0100967498,0.1081478375,1.5582586724,0.5288415304999999,67,52687.0,80.3,3.36,190.6250739,0.0,0.0,3.25,184.0,2,805.0,2,2,1456.0,1,0.091,15,250000,0
12547,3,2.4545660151,0.3341339445,4.9795280508,1.3066532896,0.050486980999999986,0.9108090001,1.537622157,79,92969.0,67.0,3.46,168.14317490000005,0.0,1.0,60.22,235.0,1,1280.0,1,3,2721.0,0,0.041,15,250000,0
12548,3,1.2234929233,0.6722111057,2.6876560325,0.9179124285,0.1083369061,0.9350338662,3.7369816372,85,108639.0,68.9,4.28,170.1945226,0.0,0.0,52.53,409.0,1,1408.0,1,3,2884.0,1,0.024,4,299000,0
12549,4,1.2462264553,0.4624029454,2.967670254,0.7722025247,0.1794353005,0.9047082627,3.4542305904000004,81,93034.0,67.1,3.14,168.5979178,0.0,1.0,9.96,344.0,3,1360.0,2,3,3668.0,0,0.037000000000000005,14,520000,0
12550,2,1.2658364272,0.1170906275,3.4018467115,0.35060119939999995,0.1403967795,0.5262648741,3.0202589571,89,93034.0,67.0,3.46,168.14317490000005,0.0,1.0,54.97,328.0,1,1179.0,2,1,1664.0,0,0.0,0,250000,0
12551,3,1.5799757822,0.3277549,3.7244148914,0.3055113315,0.0901362351,0.3893340324,2.7203016771,74,93034.0,67.7,2.8,174.8671796,0.0,0.0,1.87,357.0,2,1184.0,3,3,2439.0,0,0.03,0,599000,0
12552,2,1.5063228688,0.1311874195,8.4693376023,2.6359426729,0.1392359324,3.0918420223000003,1.5063181408,67,44289.0,70.1,4.42,168.7854764,0.0,1.0,89.0,173.0,1,1152.0,3,3,2470.0,0,0.015,28,182900,0
12553,4,2.3465058446,0.7574049638,5.3858359487000005,0.7487761358,0.0802612353,1.7477901254,1.6251717266,75,92969.0,77.3,3.43,189.27894,0.0,0.0,2.22,275.0,1,1457.0,3,3,2743.0,2,0.057,13,495000,0
12554,4,1.0662830273,0.9767865631,0.4268017705,0.6983575097,0.2349807742,0.5503277551,1.6002860331,98,108639.0,78.5,3.49,189.6382211,0.0,1.0,1.45,472.0,1,1900.0,2,3,3761.0,1,0.058,4,499000,0
12555,2,1.2592323368,0.6167753188,2.8136287875,0.9231383737,0.1179668912,0.9412868305,3.6082432301,81,93034.0,67.7,2.8,174.8671796,0.0,0.0,1.87,357.0,1,556.0,1,1,1743.0,0,0.0,9,235000,0
12556,2,3.3366357188,0.4913116783,5.950382083099999,1.7386585878999998,0.1226109263,0.7124215077,0.860153237,59,92969.0,67.6,2.86,174.6158156,0.0,0.0,5.07,250.0,1,714.0,1,1,1545.0,0,0.0,161,109900,0
12557,5,1.4556152959,0.3659739403,1.0693302747,0.1889296418,0.0972678299,0.4205058404,2.5159639325,113,108639.0,78.8,3.21,194.1442297,0.0,1.0,23.33,520.0,1,1852.0,3,3,4754.0,2,0.041,35,895000,0
12558,2,1.4248338931,0.2384745481,1.218527753,0.1076228094,0.1327684907,0.5876922429,2.6399562832,109,108639.0,78.8,3.19,193.6113816,0.0,0.0,26.93,523.0,1,728.0,1,3,3011.0,0,0.014,11,599000,0
12559,4,2.0380512137,0.39307643,7.0518139706,1.91076741,0.2968413908,0.9336790731,3.2887333244,63,264688.0,78.1,3.27,189.236479,0.0,1.0,5.35,468.0,2,2769.0,3,4,9631.0,1,0.12,0,1400000,0
12560,4,2.5280912675,1.114350698,6.9471811729,2.7509083513,0.1815084301,1.7509852540000002,2.4253300169,29,264688.0,79.3,3.52,189.5440738,0.0,2.0,4.82,464.0,1,1995.0,2,4,5603.0,2,0.115,42,819000,0
12561,3,2.1419490734,0.5168079697,7.0336370389999985,2.1084771944,0.13500235789999998,1.1184077442,3.0894484204,53,264688.0,68.9,4.28,170.1945226,0.0,1.0,24.19,437.0,1,1390.0,2,3,5975.0,2,0.058,0,765000,0
12562,2,2.9651836168,0.3912301442,5.499253238300001,1.5728568046,0.1077721349,1.1189967698,1.1756541682,70,92969.0,72.6,2.72,185.6306252,0.0,1.0,2.92,267.0,2,832.0,1,3,2315.0,0,0.059,5,389000,0
12563,2,1.6157067149000002,0.3947507652,3.7921076761,0.317277807,0.0982114426,0.3701005711,2.6549554623,70,92969.0,68.0,3.69,168.89499540000003,0.0,1.0,61.57,237.0,2,1171.0,2,1,2910.0,0,0.0,102,278193,0
12564,4,2.5609035548,1.1461859848,6.9663949367,2.782922767,0.1614154239,1.7828768227,2.4104274775,27,264688.0,77.3,3.43,189.27894,0.0,0.0,5.65,457.0,1,2159.0,3,3,7394.0,1,0.132,27,895000,0
12565,3,2.2085834804,0.6098542691,7.0288901338,2.2203744447,0.0498827115,1.2263440572,2.9814041133,55,264688.0,79.3,3.27,195.9526553,0.0,0.0,8.93,486.0,1,2070.0,4,3,5721.0,1,0.062,6,889000,0
12566,5,2.0239375004,0.6279939612,7.270538125800001,1.5663271047,0.1101682199,0.692100224,3.8149508344,66,264688.0,67.2,3.03,171.19616330000005,0.0,0.0,14.58,438.0,1,1904.0,3,4,7073.0,2,0.114,54,859000,0
12567,3,0.82305331,0.1836562639,8.2303703366,1.8253683126,0.122764838,2.1914813969,0.8230658312000001,110,44289.0,79.8,3.35,188.9390719,0.0,0.0,2.06,170.0,2,1024.0,1,3,1308.0,0,0.056,26,143000,0
12568,3,1.1520176666,0.6558402557999999,3.5377139453,1.0362319956,0.101969786,1.450110382,1.4932459291,82,52687.0,66.3,3.32,167.5460189,0.0,0.0,79.02,175.0,2,944.0,2,3,1870.0,0,0.057,21,199770,0
12569,2,1.5426869995,0.9710609718,5.3092371905,0.4508547120000001,0.0232509827,1.7344066531,2.4713787431,70,82854.0,80.1,3.48,188.1609222,0.0,0.0,1.84,285.0,1,816.0,1,3,1844.0,0,0.038,9,255000,0
12570,3,1.5350797839,0.5552378237,8.9424868834,2.4991997368,0.0901947135,2.8047693010000003,1.5350918643,100,44289.0,78.1,3.27,189.236479,0.0,1.0,1.33,167.0,1,1088.0,1,3,1309.0,0,0.041,18,178900,0
12571,2,0.9447932581,0.4231701904,6.4755973355,0.8714290653,0.0654579796,1.4618910165,0.9447776918,89,44289.0,67.2,3.03,171.19616330000005,0.0,0.0,27.67,153.0,1,744.0,1,1,1427.0,0,0.0,17,49900,0
12572,4,1.5773539355,0.3460854117,3.7474068419,0.291861549,0.0862196251,0.3670349819,2.6954013233,73,92969.0,78.5,3.49,189.6382211,0.0,1.0,1.85,279.0,1,1464.0,3,3,13474.0,0,0.027000000000000003,70,599000,0
12573,3,0.7484870263,0.2465797578,6.6625509947,0.8097034707999999,0.0507587401,1.3992775985,0.7484727785999999,100,44289.0,78.7,3.25,195.0863121,0.0,1.0,34.23,179.0,1,1836.0,1,4,1813.0,0,0.052000000000000005,3,120000,0
12574,3,2.1387033792,0.49477441,7.0950642822,2.0387562605,0.2053348616,1.059807262,3.2045207574,53,264688.0,69.4,4.44,165.8540725,0.0,1.0,29.08,427.0,1,1640.0,3,4,6382.0,2,0.124,3,739000,0
12575,4,2.160970866,0.5221172899000001,7.0880300491,2.0842505504,0.1631392678,1.101581398,3.1561536068,54,264688.0,68.6,4.06,164.18939319999996,0.0,0.0,35.77,436.0,1,2006.0,3,3,7110.0,2,0.157,215,825000,0
