,PctOfHomesDecreasingInValues,distance_grocery_km,distance_public_school_arts_center_km,distance_public_school_ye_km,ListPrice2_delta,FreddieMac15yr,PriceIndex,distance_cap_gain_school_km,SaleCount,TaxTotalLivingArea,count_metro_station_km,YearBuilt,Acres,Bedrooms,BasementY/N,Fireplaces,TotalTaxes2,DOMP,qcut_DOMP
0,83.26,1.6800772077,2.0743527538,1.8905986873,-0.118837740777016,4.33,167.1401414,2.189428015,2,1024.0,1,1950,0.08199999999999999,3,1,0,2967.0,10,0
1,16.48,1.7006965762,1.7799164159,1.0436363145,-0.15338645418326693,3.03,171.19616330000005,2.6741758825,1,1260.0,0,1987,0.0,2,0,1,2890.0,41,0
2,5.53,0.2851185459,2.9582687909,2.2606435214,-0.16135346756152125,3.35,188.9390719,2.9582761207,1,682.0,13,1941,0.0,1,0,0,2500.0,12,0
3,5.03,0.2851185459,2.9582687909,2.2606435214,-0.31024774774774777,3.48,188.1609222,2.9582761207,1,589.0,13,1941,0.0,1,0,0,2021.0,16,0
4,28.8,0.2851185459,2.9582687909,2.2606435214,-0.30030786453960256,3.25,195.0863121,2.9582761207,1,532.0,13,1891,0.0,1,0,0,1944.0,5,0
5,6.44,0.2851185459,2.9582687909,2.2606435214,-0.2926761347813979,3.36,190.6250739,2.9582761207,3,518.0,13,1891,0.0,1,0,0,1909.0,8,0
6,15.29,0.2851185459,2.9582687909,2.2606435214,0.05012601512181462,3.29,194.8306605,2.9582761207,1,677.0,13,1891,0.0,1,0,0,2294.0,13,0
7,5.53,0.2851185459,2.9582687909,2.2606435214,-0.3008976510067114,3.35,188.9390719,2.9582761207,2,448.0,13,1891,0.0,0,0,0,1766.0,26,0
8,19.85,0.2851185459,2.9582687909,2.2606435214,-0.10190903986524424,3.27,195.9526553,2.9582761207,2,532.0,13,1891,0.0,1,0,0,2061.0,35,0
9,3.92,0.4645581861,2.5647486239,2.5679464297,0.4959400374765772,2.76,179.37516409999995,2.5647557658,1,825.0,11,1891,0.0,1,0,1,2905.0,24,0
10,2.22,0.7437840419,1.3003448804,0.8200431101000001,0.9652665589660744,3.43,189.27894,1.7468519147,1,1758.0,0,1925,0.08199999999999999,4,1,1,3781.0,14,0
11,3.11,0.6692193506,1.0687889334,0.9507995855,0.08540417023707512,2.66,182.5429545,2.2264609695,1,1638.0,3,1919,0.044,4,1,0,2959.0,2,0
12,87.65,2.4973990381,10.4117139292,0.6980388339,-0.8396579369321219,4.18,170.4751925,0.8901438131999999,1,671.0,0,2002,0.0,1,0,0,1155.0,242,0
13,84.29,2.4973990381,10.4117139292,0.6980388339,-0.8768971332209107,4.06,164.18939319999996,0.8901438131999999,1,671.0,0,2002,0.0,1,0,0,1155.0,129,0
14,86.4,0.5662714527,10.443343113600001,3.3532203436000003,0.22161671207992734,4.37,166.0036383,3.1686002841,1,1200.0,1,1999,0.112,4,0,0,2979.0,14,0
15,10.65,0.4847382734,3.4625362168,0.7993228433,0.03713188220230474,3.24,195.8744368,1.5254645722,1,1412.0,4,1900,0.017,3,1,0,3472.0,46,0
16,24.19,1.4682374625,5.5754925910000015,4.8028293726,-0.02358142962417097,4.28,170.1945226,3.4577441535,1,1699.0,0,1933,0.198,3,1,1,6558.0,5,0
17,4.83,2.0186562718000003,8.4518938424,1.3634065778,-0.06253256904637833,3.52,189.5440738,2.1210229965000003,1,704.0,0,1950,0.065,2,1,0,1551.0,72,0
18,5.35,1.3730336013999995,3.450687209,5.3844549299,1.043953541334548,3.27,189.236479,3.450685015,1,3450.0,0,1989,0.121,6,1,4,14110.0,211,0
19,86.13,1.1087283187,9.3855074491,3.6568968972,-0.05708460754332314,4.44,165.8540725,0.4030907366,1,1024.0,2,1956,0.076,3,1,0,1948.0,82,0
20,6.77,2.5028503413,10.669507790299999,5.0004839297000006,0.31868131868131866,3.17,187.9588779,1.2591098142,1,1360.0,2,2007,0.059,3,1,0,2558.0,6,0
21,76.54,2.8219647275,10.990741303699998,1.2272072667,-0.8904185022026432,3.66,166.02525580000002,1.2465348162999998,1,562.0,0,1954,0.0,1,0,0,993.0,48,0
22,72.03,2.4693291407,10.6685921422,0.7760364683,0.05694069289489138,3.46,168.14317490000005,0.8559452112,2,900.0,0,1919,0.127,3,1,0,1899.0,201,0
23,76.43,1.5618349574,8.6435913711,4.1938706118,0.10738255033557048,3.82,168.16883080000005,1.1889788649,1,1340.0,3,1911,0.11,4,0,0,2197.0,26,0
24,1.98,0.4806482027,0.6839349344,1.399571698,0.2845849802371542,3.27,189.236479,3.4470079819,1,1364.0,6,1912,0.023,3,1,0,3142.0,9,0
25,58.87,0.4993322799,2.9766937512,0.0352496634,-0.1306566859476012,3.68,168.7131123,1.2089681097,1,960.0,3,1959,0.092,5,1,0,2683.0,13,0
26,43.91,0.4301472657,0.3554617354,1.1497408169,0.17433325177391729,4.37,166.0036383,3.0965585594,2,1868.0,6,1912,0.033,4,1,0,5135.0,71,0
27,44.81,0.4809814772,3.0072982083,0.9547986949,-0.15368991198375084,4.06,164.18939319999996,1.4571137518,2,1197.0,3,1922,0.112,5,1,0,3130.0,3,0
28,38.73,0.1895733794,1.8548495311,3.8940950782,-0.27951807228915665,3.69,168.89499540000003,1.85485275,1,675.0,2,1978,0.0,1,0,0,2980.0,148,0
29,20.55,0.1895733794,1.8548495311,3.8940950782,-0.2121647509578544,3.91,167.9615905,1.85485275,3,808.0,2,1978,0.0,1,0,0,3230.0,59,0
30,32.34,0.1895733794,1.8548495311,3.8940950782,-0.111166130230255,4.33,167.1401414,1.85485275,1,808.0,2,1978,0.0,1,0,0,3230.0,9,0
31,8.95,0.1895733794,1.8548495311,3.8940950782,0.30952380952380953,2.66,174.9641855,1.85485275,2,1020.0,2,1978,0.0,2,0,0,3707.0,205,0
32,9.64,0.1895733794,1.8548495311,3.8940950782,-0.09297567629006592,2.85,174.1138544,1.85485275,1,754.0,2,1978,0.0,1,0,0,2872.0,35,0
33,39.51,0.1895733794,1.8548495311,3.8940950782,0.2638790455941413,3.25,164.6735404,1.85485275,1,990.0,2,1978,0.0,2,0,0,3931.0,91,0
34,29.75,0.1895733794,1.8548495311,3.8940950782,-0.13855860228099975,4.28,170.1945226,1.85485275,1,808.0,2,1978,0.0,1,0,0,3359.0,50,0
35,4.26,0.9671639056,3.0879285719,0.450158959,1.5043832185347528,2.66,174.9641855,1.3258434264,1,1960.0,4,1901,0.158,4,1,0,3229.0,45,0
36,15.73,0.2505621322,3.4688793077999995,1.96134869,-0.06278434940855324,3.25,195.0863121,2.4572261331,1,997.0,19,2004,0.0,2,0,0,3881.0,5,0
37,29.56,0.2505621322,3.4688793077999995,1.96134869,-0.04055766793409379,3.13,192.69357130000003,2.4572261331,1,962.0,19,2004,0.0,2,0,0,4269.0,4,0
38,29.56,0.2505621322,3.4688793077999995,1.96134869,0.046532681513670106,3.13,192.69357130000003,2.4572261331,1,954.0,19,2004,0.0,2,0,0,4246.0,4,0
39,49.24,0.4738167157,0.1508574125,0.9423535137,0.19239209948792976,3.66,166.02525580000002,2.886801119,1,1537.0,6,1910,0.0,2,0,1,5096.0,32,0
40,30.62,0.2386898107,2.0686605568000003,3.5631698173000004,0.8778801843317973,3.16,164.31463390000005,2.0686650109,1,1920.0,11,1978,0.023,4,0,1,7111.0,6,0
41,3.68,0.594563714,0.9017452856,1.2342694795,0.2699007717750827,2.66,174.7804831,3.6657729813,2,1334.0,3,1910,0.023,4,1,0,2808.0,28,0
42,32.27,0.4948534219,3.2698741649,0.9547234016,0.37150127226463103,3.19,193.6113816,1.6072703491999998,1,1474.0,1,1917,0.105,4,1,1,3307.0,6,0
43,26.93,0.2383079456,3.8951718337,1.304188685,0.08539895060611544,3.19,193.6113816,1.2628491992,1,793.0,14,1912,0.0,2,0,0,4497.0,18,0
44,57.32,0.4734911953,3.039279661,0.9582067733,0.6129032258064516,3.69,168.89499540000003,1.4324835895,3,1006.0,3,1922,0.121,4,1,0,2864.0,72,0
45,80.02,1.8134289008,8.9926178677,4.5005341547,-0.6597110754414125,4.06,164.18939319999996,1.1384237825,1,1004.0,3,1921,0.046,2,1,0,1807.0,16,0
46,29.07,0.5362582963,3.2534562299000003,0.9132929882,0.16744520301832555,2.95,173.0314193,1.57906977,2,1670.0,1,1918,0.113,4,1,1,4100.0,14,0
47,18.56,0.7746307495,1.2024768687,1.0334227997,-0.2603578154425612,3.25,164.6735404,3.844650111,1,1272.0,6,1909,0.023,4,1,0,2904.0,4,0
48,6.23,0.2198118324,3.0040026275,1.5943285294999998,1.0228025009194557,3.27,195.9526553,2.6658094775,1,1704.0,10,1900,0.037000000000000005,4,1,2,6191.0,6,0
49,3.73,0.33896160700000005,2.9511111811,0.2171114478,0.521805428484294,2.77,176.82254369999995,1.216656967,1,1187.0,3,1923,0.085,3,1,0,3142.0,10,0
50,55.14,0.2704097153,0.1701829895,0.6734230365,-0.02106567534076828,3.69,168.89499540000003,2.6149567928,1,1386.0,3,1925,0.025,3,1,0,2900.0,9,0
51,24.29,0.2234071813,2.1963536617,3.4942674988,2.423834694858241,4.04,169.4708133,2.1963582398,1,2206.0,12,1921,0.022,3,1,1,9655.0,99,0
52,63.37,1.6369066447999998,8.786350457000001,4.298376134,0.3523865645256335,3.03,171.19616330000005,1.1332405172,2,1248.0,3,1909,0.057,3,0,0,1611.0,116,0
53,12.1,1.434544809,11.314994434,1.1106148097,-0.4298745724059293,2.77,176.82254369999995,0.7343872759000001,2,1134.0,0,1980,0.035,3,1,0,1454.0,1,0
54,4.28,0.4465359832,0.5783204873,1.3946272968,-0.10078594544613964,2.95,173.0314193,3.3395681891000004,1,904.0,6,1928,0.016,2,1,0,2612.0,6,0
55,15.73,0.3954863083,3.4656342905,0.714128416,0.27206551410373064,3.25,195.0863121,1.497097974,1,1502.0,2,2006,0.0,2,0,0,5022.0,12,0
56,4.26,0.3894163751,2.9615215766000005,0.155827878,0.5623043206011271,2.66,174.9641855,1.2079910075,1,1650.0,3,1925,0.057,3,1,1,2710.0,22,0
57,1.35,0.5894170899,3.0618569925,1.0777398111,0.6681600955794504,2.72,185.6306252,1.5058155423,2,1424.0,3,1928,0.06,3,1,0,2590.0,20,0
58,72.65,0.3323586145,2.9625765424,0.2175466785,0.4751344086021506,4.28,170.1945226,1.2052026709,1,1187.0,3,1923,0.085,3,0,0,3407.0,9,0
59,0.66,0.3694729159,3.3887391179,1.0956241969,0.17826448572220682,3.48,188.1721628,1.6581505325,1,2238.0,1,1917,0.114,5,1,1,2873.0,33,0
60,49.85,0.22894676,2.1928355777,3.4911898892,2.2094918504314482,3.32,167.5460189,2.1928401716,1,2206.0,12,1921,0.022,4,1,1,9451.0,161,0
61,79.02,1.5790075028,8.6376737007,4.2071341579000014,0.4370327774583094,3.32,167.5460189,1.2082100932,2,1671.0,3,1925,0.134,4,0,0,2583.0,12,0
62,4.83,1.6378528482,8.7782752872,4.2972094815,0.14486711829077645,3.52,189.5440738,1.1409655091,2,1176.0,3,1949,0.063,2,0,0,1400.0,69,0
63,12.1,1.4328385447999998,11.3094517617,1.1053990369,-0.042759407069555305,2.77,176.82254369999995,0.72913052,1,1134.0,0,1980,0.038,3,1,0,1285.0,158,0
64,2.95,0.8024515444,3.0630447564,0.2871586186,0.3140775435857403,3.39,192.8245948,1.2465185099,1,1636.0,3,1925,0.086,4,1,0,2948.0,3,0
65,10.79,0.1554380217,1.3814569056,4.6256272404,-0.2548107968487666,2.66,182.5429545,1.3814560337,1,950.0,0,1980,0.0,2,0,1,3731.0,26,0
66,2.15,0.2986405219,0.1482894376,0.7051945578000001,-0.13983237759153067,2.69,175.0512181,2.648373217,1,1404.0,4,1925,0.025,3,1,0,2763.0,0,0
67,10.76,0.9639871272,3.102375178,0.4499690194,-0.02660609993510708,2.86,174.6158156,1.3117805189,1,2388.0,4,1911,0.146,4,1,0,3605.0,0,0
68,30.06,0.4229935016,3.0793957184,0.9213168272,0.8348348348348348,3.2,165.9509441,1.370487291,2,1296.0,3,1922,0.121,3,1,0,2764.0,2,0
69,80.36,1.9408610498,9.0931256112,4.6337123491000005,0.11499193981730252,4.09,163.3011429,1.1995817826,1,1600.0,3,2001,0.069,4,0,1,3169.0,123,0
70,11.34,0.7833359690999999,1.2331429735,1.0312836496,0.3627950023137436,3.2,165.9509441,3.8224658268,2,1264.0,6,1910,0.023,3,1,1,2831.0,12,0
71,12.51,0.3435244696,3.0732488331,0.8421629593000001,0.14201570680628273,2.85,174.1138544,1.3208689043,1,1489.0,3,1921,0.121,2,1,0,2630.0,37,0
72,65.5,0.4540932294,3.1099217836,0.9595258772,-0.3277344537815126,4.18,170.4751925,1.3715673343,2,926.0,3,1899,0.121,2,1,0,3454.0,5,0
73,16.92,0.2921291593,3.3905673001,1.1054125454,0.9329032258064516,3.31,194.4612831,1.7337591579,1,1918.0,1,1918,0.114,5,1,1,1558.0,49,0
74,45.54,0.4972891307,0.7649866328,1.350417496,-0.21065259117082533,4.28,170.1945226,3.5261205916,1,1352.0,6,1907,0.023,4,1,2,3581.0,3,0
75,3.9,2.3930322119,10.5931883976,4.8658869038,-0.020113460546673543,3.3,188.6493901,1.1757431539,1,1040.0,2,1961,0.095,3,1,0,1715.0,18,0
76,33.43,2.3118863093,10.5266601514,4.7757779719,-0.6601721794290892,3.13,192.69357130000003,1.1098275853,2,1029.0,2,1961,0.08800000000000001,3,1,0,1514.0,1,0
77,10.91,0.1315982941,1.8955252701,3.8172613721,-0.2889390519187359,2.76,179.37516409999995,1.895528811,1,652.0,2,1938,0.0,1,0,0,2493.0,31,0
78,26.61,0.1315982941,1.8955252701,3.8172613721,-0.5912743972445464,3.2,165.9509441,1.895528811,1,370.0,2,1938,0.0,0,0,0,1593.0,31,0
79,10.88,0.1315982941,1.8955252701,3.8172613721,-0.3228719801309551,2.77,176.82254369999995,1.895528811,1,713.0,2,1938,0.0,1,0,0,2645.0,3,0
80,20.55,0.1315982941,1.8955252701,3.8172613721,-0.3055555555555556,3.91,167.9615905,1.895528811,1,547.0,2,1938,0.0,1,0,0,2245.0,14,0
81,34.93,0.1315982941,1.8955252701,3.8172613721,-0.5886312640239342,4.37,166.0036383,1.895528811,1,381.0,2,1938,0.0,0,0,0,1655.0,4,0
82,20.55,0.1315982941,1.8955252701,3.8172613721,-0.5474137931034483,3.91,167.9615905,1.895528811,1,351.0,2,1938,0.0,0,0,0,1563.0,32,0
83,3.18,0.4566195907,0.6905860437000001,1.4138760628,0.06300997280145057,2.85,174.1138544,3.4499464766,1,1280.0,6,1912,0.023,3,1,0,2869.0,4,0
84,10.65,0.3843656866,3.6052734468,2.0622707616,0.11395646606914213,3.24,195.8744368,2.4420011564,1,875.0,18,2007,0.0,2,0,0,3989.0,50,0
85,29.56,0.3843656866,3.6052734468,2.0622707616,0.22216186854970124,3.13,192.69357130000003,2.4420011564,1,1050.0,18,2007,0.0,2,0,0,4827.0,3,0
86,6.23,0.3843656866,3.6052734468,2.0622707616,0.13828613460831188,3.27,195.9526553,2.4420011564,1,994.0,18,2007,0.0,2,0,0,4448.0,47,0
87,2.04,0.3843656866,3.6052734468,2.0622707616,0.496378192908883,3.35,188.9390719,2.4420011564,1,1315.0,18,2007,0.0,2,0,0,5626.0,18,0
88,23.33,0.3843656866,3.6052734468,2.0622707616,0.5376248191027496,3.21,194.1442297,2.4420011564,1,1315.0,18,2007,0.0,2,0,0,5337.0,23,0
89,23.33,0.3843656866,3.6052734468,2.0622707616,0.03997829232995658,3.21,194.1442297,2.4420011564,1,940.0,18,2007,0.0,2,0,0,3991.0,5,0
90,23.33,0.3843656866,3.6052734468,2.0622707616,0.5358176555716353,3.21,194.1442297,2.4420011564,1,1315.0,18,2007,0.0,2,0,1,5337.0,10,0
91,2.67,0.3843656866,3.6052734468,2.0622707616,0.13025755049101356,3.29,194.8306605,2.4420011564,1,996.0,18,2007,0.0,2,0,0,4298.0,4,0
92,26.93,0.3843656866,3.6052734468,2.0622707616,0.2212773656594897,3.19,193.6113816,2.4420011564,1,1050.0,18,2007,0.0,1,0,0,4360.0,7,0
93,19.66,0.3843656866,3.6052734468,2.0622707616,0.13286206271524378,3.31,194.4612831,2.4420011564,1,940.0,18,2007,0.0,2,0,0,3991.0,31,0
94,2.67,0.3843656866,3.6052734468,2.0622707616,0.4989809153233278,3.29,194.8306605,2.4420011564,1,1315.0,18,2007,0.0,2,0,0,5337.0,4,0
95,1.96,0.3843656866,3.6052734468,2.0622707616,-0.08513097072419107,3.48,188.1609222,2.4420011564,1,712.0,18,2007,0.0,1,0,0,3554.0,46,0
96,10.29,0.1554380217,1.3814569056,4.6256272404,-0.261015381057014,3.29,194.8306605,1.3814560337,2,886.0,0,1900,0.0,2,0,1,4215.0,0,0
97,17.24,1.9821756306,9.1293641922,4.6772874434,0.8582046883933676,2.77,176.82254369999995,1.2191808455,1,1209.0,3,2012,0.052000000000000005,4,1,0,1689.0,0,0
98,4.16,0.7586078286,1.2015889138,1.051300857,0.2222716159146477,2.69,175.0512181,3.8253004794,1,1272.0,6,1909,0.023,3,1,1,3435.0,6,0
99,1.44,0.8919822893000001,3.1602882459,0.56152824,0.28050617655920457,2.66,182.5429545,1.3405256495,1,1520.0,4,1925,0.094,3,1,0,2718.0,1,0
100,1.29,0.4922099171,0.7661002587000001,1.3541267223,0.2631578947368421,2.72,185.6306252,3.5264222373000003,1,1710.0,6,1907,0.023,5,1,1,3367.0,41,0
101,5.51,2.185828564,9.3624912529,4.897334867,-0.6027542372881356,3.49,189.6382211,1.2964132347,2,908.0,3,1947,0.11,3,1,0,1434.0,0,0
102,30.69,0.1554380217,1.3814569056,4.6256272404,-0.2758437416954558,3.68,165.25843500000005,1.3814560337,1,886.0,0,1900,0.0,2,0,1,4116.0,4,0
103,51.92,0.41258657,0.4486667128,1.2532453366,0.4335664335664336,4.06,164.18939319999996,3.1996079398000004,1,2528.0,6,1909,0.055,5,1,0,4297.0,20,0
104,65.01,0.4383687736,3.3551762871,1.0239005825,0.7464163464896961,3.68,168.7131123,1.6078545384,1,1467.0,1,1916,0.08900000000000001,5,1,1,3262.0,125,0
105,57.32,0.3963081258,3.093466353,0.8995862903,0.11714770797962648,3.69,168.89499540000003,1.3421019186,1,1170.0,3,1939,0.053,3,1,1,2762.0,54,0
106,39.51,0.1809327133,2.0183421645,3.6085630442,1.3600283486888731,3.25,164.6735404,2.0183464916,1,1448.0,9,1890,0.043,3,1,2,9611.0,168,0
107,86.13,1.6226654173,8.6515478909,4.2494041136,-0.6279306829765545,4.44,165.8540725,1.2334214051,2,800.0,3,1947,0.052000000000000005,2,1,0,1763.0,179,0
108,0.82,1.2431484311,3.2934286468,1.7428326509999998,-0.09328683522231908,3.43,189.27894,1.9784345358,2,1120.0,0,1965,0.113,3,0,0,2747.0,0,0
109,36.74,0.7513530212,1.1968379832,1.058416102,-0.4106326677892711,4.06,164.18939319999996,3.8212538589,2,1108.0,6,1911,0.024,3,1,0,3272.0,24,0
110,29.39,0.1554380217,1.3814569056,4.6256272404,-0.236058981233244,3.2,165.9509441,1.3814560337,2,886.0,0,1900,0.0,2,0,1,3694.0,0,0
111,0.57,0.3456998377,3.4224476507,1.1294108265,-0.15156744319815935,3.52,189.5440738,1.6675804435,2,1707.0,1,1917,0.126,4,1,1,2565.0,12,0
112,13.78,0.9053828491,4.6237490144,0.9679613327,-0.4864864864864865,3.14,168.5979178,1.0813886615,1,1122.0,0,1900,0.0,2,0,0,3545.0,30,0
113,1.35,0.1208928461,3.0160903291000003,0.4560421574,0.7918160095579451,2.72,185.6306252,1.1871997925,1,1790.0,3,1927,0.063,6,1,1,2592.0,48,0
114,9.93,0.1132337794,1.323599569,4.7160269895,-0.1715270413573701,2.66,174.9641855,1.3235980023,1,1605.0,1,1985,0.0,2,0,0,6822.0,10,0
115,31.24,0.1132337794,1.323599569,4.7160269895,-0.3787222523010287,4.37,166.0036383,1.3235980023,2,1018.0,1,1985,0.0,1,0,0,4769.0,143,0
116,47.29,0.1132337794,1.323599569,4.7160269895,0.6796560064498791,4.06,166.5574036,1.3235980023,1,2281.0,1,1985,0.0,2,0,0,7596.0,848,0
117,29.39,0.1132337794,1.323599569,4.7160269895,-0.13002680965147453,3.2,165.9509441,1.3235980023,1,1527.0,1,1985,0.0,2,0,0,5961.0,6,0
118,7.37,0.1132337794,1.323599569,4.7160269895,0.06609808102345416,3.35,188.9390719,1.3235980023,2,1527.0,1,1985,0.0,2,0,0,5556.0,269,0
119,10.29,0.1132337794,1.323599569,4.7160269895,0.04082340696195212,3.29,194.8306605,1.3235980023,1,1681.0,1,1985,0.0,2,0,0,6161.0,79,0
120,60.16,0.1132337794,1.323599569,4.7160269895,0.18408502520779396,3.35,166.74153180000005,1.3235980023,1,1726.0,1,1985,0.0,2,0,0,7264.0,14,0
121,8.63,0.1132337794,1.323599569,4.7160269895,0.17046818727490998,3.48,188.1721628,1.3235980023,1,1461.0,1,1985,0.0,2,0,0,6451.0,7,0
122,62.77,0.1132337794,1.323599569,4.7160269895,-0.098989898989899,3.69,168.89499540000003,1.3235980023,2,1527.0,1,1985,0.0,2,0,0,6371.0,7,0
123,9.93,0.1132337794,1.323599569,4.7160269895,-0.1383881230116649,2.66,174.9641855,1.3235980023,1,1527.0,1,1985,0.0,2,0,0,6213.0,3,0
124,47.29,0.1132337794,1.323599569,4.7160269895,-0.06073636119322761,4.06,166.5574036,1.3235980023,2,1427.0,1,1985,0.0,2,0,1,6183.0,2,0
125,7.37,0.1132337794,1.323599569,4.7160269895,0.21416725894337835,3.35,188.9390719,1.3235980023,1,2038.0,1,1985,0.0,2,0,1,7433.0,6,0
126,11.73,0.1132337794,1.323599569,4.7160269895,0.2683366520642506,2.85,174.1138544,1.3235980023,1,1735.0,1,1985,0.0,2,0,1,7808.0,0,0
127,7.69,0.1132337794,1.323599569,4.7160269895,0.21595330739299606,3.27,189.236479,1.3235980023,1,2038.0,1,1985,0.0,2,0,1,8005.0,1,0
128,88.51,1.6734103652,8.825603966900001,4.340116329,-0.327683615819209,4.42,168.7854764,1.1342883567,1,1224.0,3,1914,0.067,3,1,0,0.0,108,0
129,37.51,0.748299681,1.1980444595,1.0621765169,-0.07875546912980068,4.22,163.3624446,3.8161234467,1,1108.0,6,1911,0.024,3,1,0,3631.0,10,0
130,1.81,0.4832032054,0.7640654025,1.3621695053999998,0.27149225217575884,2.66,182.5429545,3.5231479162,2,1224.0,6,1923,0.029,3,1,0,3658.0,6,0
131,55.14,0.4426653885,0.6525127608,1.4446142392,0.19578686493184635,3.69,168.89499540000003,3.4113137769,1,1316.0,6,1910,0.031,2,0,0,3175.0,36,0
132,3.11,0.3773208772,0.9355722057,0.2297987912,0.3853184804341617,2.66,182.5429545,1.8382009161,1,1360.0,3,1917,0.05,3,1,0,3016.0,6,0
133,11.06,0.2610193186,2.1744543095,3.4715545348,2.4052213393870603,2.86,174.6158156,2.1744590006,1,2472.0,12,1922,0.024,6,1,3,12251.0,70,0
134,4.72,1.6711365588999998,8.7592256189,4.3216963438,-0.5251540041067762,3.48,188.1721628,1.1874860441,2,1600.0,3,1950,0.068,2,0,0,1408.0,12,0
135,53.5,1.5069375965,8.6083317691,4.1353286459,0.7048794826572604,2.85,174.1138544,1.17493076,1,2148.0,3,2001,0.058,4,1,1,2580.0,80,0
136,54.83,0.894932748,3.1827703814,0.5635059034000001,0.5627124405166554,3.81,166.7851862,1.3197251277,1,1520.0,4,1925,0.097,3,1,0,3943.0,17,0
137,2.48,0.4035637102,0.3449003596,1.111623167,-0.1614490161001789,2.86,174.6158156,3.0594294331,2,1344.0,6,2005,0.0,3,1,1,4986.0,49,0
138,54.36,0.300740342,0.189829583,0.667758198,0.3568956994562531,4.22,163.3624446,2.6127213518,1,1800.0,4,1925,0.025,4,1,0,2839.0,67,0
139,58.87,0.1188985469,3.0186644713,0.5532496562,-0.08166042871725078,3.68,168.7131123,1.2178398364,1,1118.0,3,1981,0.0,2,0,1,2665.0,63,0
140,80.36,1.4289444911000002,8.4780100789,4.0244000017,-0.6335303600214938,4.09,163.3011429,1.2299993509,2,1513.0,6,1925,0.069,3,0,0,3051.0,419,0
141,85.15,1.67608122,8.7564444778,4.3253250107999985,-0.6467532467532467,4.18,170.4751925,1.1943229703,1,896.0,3,1950,0.037000000000000005,2,0,0,1950.0,268,0
142,44.66,0.2017287272,11.0041869055,1.7532684616999998,1.243498817966903,3.21,194.1442297,1.4988693386,1,1819.0,5,2008,0.11,4,1,0,3246.0,40,0
143,3.51,0.5178077456,3.3688048559,0.9592543006,0.26192317607630833,3.27,195.9526553,1.5251724581,1,1190.0,1,1917,0.101,3,1,0,2916.0,5,0
144,2.67,0.9181724839,4.6352103818,0.9653372336,-0.12821758135016995,3.17,187.9588779,1.0891883454,1,1017.0,0,2008,0.0,2,0,0,2282.0,9,0
145,2.96,0.9181724839,4.6352103818,0.9653372336,-0.44,3.29,194.8306605,1.0891883454,1,682.0,0,2008,0.0,1,0,0,1655.0,5,0
146,29.69,0.9181724839,4.6352103818,0.9653372336,0.15806919411642842,3.21,194.1442297,1.0891883454,1,1346.0,0,2008,0.0,2,0,0,3301.0,37,0
147,60.94,0.908232397,3.1056715748,0.3979878475,0.5686944634313056,3.35,166.74153180000005,1.2722585885,2,1506.0,4,1905,0.172,4,1,1,3397.0,15,0
148,2.95,0.6917016201,3.0568514269,0.1819015887,0.8475149622690606,3.39,192.8245948,1.1978904402,1,1552.0,3,1916,0.098,4,1,0,3166.0,6,0
149,19.66,0.5540526519,0.8732235391,1.2752088588,0.3141199927496828,3.31,194.4612831,3.6342213415,1,1972.0,4,1907,0.033,4,1,1,4555.0,7,0
150,7.37,0.1554380217,1.3814569056,4.6256272404,-0.2892679459843639,3.35,188.9390719,1.3814560337,1,886.0,0,1900,0.0,2,0,1,3700.0,7,0
151,27.56,0.7207567386,7.935679668300001,2.0116031144,-0.3994452149791956,3.21,194.1442297,1.8644022288,1,832.0,0,1935,0.04,2,0,0,1180.0,63,0
152,63.37,0.6121283112,8.025114869400001,2.1189095738,0.2958161461402475,3.03,171.19616330000005,1.8806176163,1,1024.0,0,1941,0.043,3,1,0,1579.0,22,0
153,3.25,0.9805112363,7.751420174400001,1.7610001475,-0.07472417251755266,3.36,190.6250739,1.7081696472,1,880.0,0,1951,0.063,2,0,0,1497.0,35,0
154,1.84,1.0866350418,3.2365253475,1.5861682058000002,-0.09190974133186572,3.48,188.1721628,1.8505618628,1,1122.0,0,1941,0.092,3,1,0,2515.0,7,0
155,4.58,0.7765174751999999,1.2415257845,1.0422300271,-0.4380481223296605,2.86,174.6158156,3.8041060247,1,542.0,6,2002,0.0,1,1,0,869.0,66,0
156,20.08,0.7765174751999999,1.2415257845,1.0422300271,-0.2672026483802317,3.31,165.7220839,3.8041060247,1,700.0,6,1900,0.0,1,0,0,2487.0,34,0
157,36.83,0.7765174751999999,1.2415257845,1.0422300271,-0.25090645395213923,3.81,166.7851862,3.8041060247,1,700.0,6,1900,0.0,2,0,0,2518.0,20,0
158,4.66,0.9142897623,4.6418197527,0.9738511575,-0.4154325798908807,2.8,174.8671796,1.0821968544,2,1780.0,0,1900,0.077,6,0,0,2429.0,0,0
159,0.66,0.4782237337,3.4044746627,1.0086483702,0.6634294427502079,3.48,188.1721628,1.5468278575,1,1704.0,1,1916,0.09,5,1,1,3500.0,83,0
160,4.83,2.2350732297,9.3856334391,4.9457711192,-0.4319958311620636,3.52,189.5440738,1.3410774253,1,1800.0,3,1941,0.092,4,1,1,1919.0,9,0
161,29.95,2.2350732297,9.3856334391,4.9457711192,0.4324693042291951,3.19,193.6113816,1.3410774253,1,1800.0,3,1941,0.092,4,1,0,10285.0,12,0
