,PctOfHomesDecreasingInValues,distance_grocery_km,distance_public_school_arts_center_km,distance_public_school_ye_km,ListPrice2_delta,FreddieMac15yr,PriceIndex,distance_cap_gain_school_km,SaleCount,TaxTotalLivingArea,count_metro_station_km,YearBuilt,Acres,Bedrooms,BasementY/N,Fireplaces,TotalTaxes2,DOMP,qcut_DOMP
1227,2.43,0.300269019,3.0646300556,1.8108678488,-0.09307359307359307,3.36,190.6250739,2.8900664981,1,630.0,12,1875,0.0,1,0,0,2728.0,50,0
1228,9.07,0.300269019,3.0646300556,1.8108678488,0.34848163091951584,3.27,195.9526553,2.8900664981,1,1187.0,12,1979,0.0,2,0,1,4719.0,9,0
1229,3.52,0.300269019,3.0646300556,1.8108678488,0.1593891159389116,3.39,192.8245948,2.8900664981,1,830.0,12,1900,0.0,2,0,0,3808.0,6,0
1230,16.19,0.300269019,3.0646300556,1.8108678488,0.3774104683195592,3.25,195.0863121,2.8900664981,1,975.0,12,1875,0.0,2,0,0,3976.0,6,0
1231,12.0,0.300269019,3.0646300556,1.8108678488,0.4812460267005722,3.24,195.8744368,2.8900664981,1,1040.0,12,1875,0.0,2,0,0,4156.0,30,0
1232,5.15,0.300269019,3.0646300556,1.8108678488,0.6556291390728477,3.29,194.8306605,2.8900664981,1,1232.0,12,1979,0.0,2,0,0,4668.0,0,0
1233,3.92,0.4885215604,2.4988417572,2.6254923592,0.27108057464084945,2.76,179.37516409999995,2.4988488506,1,732.0,11,1974,0.0,1,0,0,2990.0,4,0
1234,11.3,0.4885215604,2.4988417572,2.6254923592,0.27760252365930604,2.8,174.8671796,2.4988488506,2,719.0,11,1974,0.0,1,0,0,2865.0,5,0
1235,7.38,0.4885215604,2.4988417572,2.6254923592,0.2818897637795276,2.69,175.0512181,2.4988488506,1,779.0,11,1974,0.0,1,0,0,3028.0,2,0
1236,46.25,0.4885215604,2.4988417572,2.6254923592,0.9623233908948194,4.06,164.18939319999996,2.4988488506,1,1260.0,11,1974,0.0,2,0,0,4558.0,54,0
1237,23.89,0.4885215604,2.4988417572,2.6254923592,0.2124120281509917,2.95,173.0314193,2.4988488506,2,721.0,11,1974,0.0,1,0,0,2977.0,4,0
1238,43.85,0.4885215604,2.4988417572,2.6254923592,0.3343799058084773,3.68,168.7131123,2.4988488506,1,978.0,11,1974,0.0,2,0,0,1754.0,61,0
