RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,Turnover
66133,20009,Washington,DC,Washington,District of Columbia,34,2004-05,9.8649
66133,20009,Washington,DC,Washington,District of Columbia,34,2004-06,10.4428
66133,20009,Washington,DC,Washington,District of Columbia,34,2004-07,10.5079
66133,20009,Washington,DC,Washington,District of Columbia,34,2004-08,10.4184
66133,20009,Washington,DC,Washington,District of Columbia,34,2004-09,10.166
66133,20009,Washington,DC,Washington,District of Columbia,34,2004-10,10.0846
66133,20009,Washington,DC,Washington,District of Columbia,34,2004-11,10.1091
66133,20009,Washington,DC,Washington,District of Columbia,34,2004-12,10.2881
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-01,10.4184
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-02,11.0858
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-03,11.5416
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-04,11.566
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-05,11.9404
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-06,11.9241
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-07,12.5183
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-08,13.1288
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-09,13.6497
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-10,13.6497
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-11,13.5683
66133,20009,Washington,DC,Washington,District of Columbia,34,2005-12,13.7881
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-01,13.6171
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-02,13.7718
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-03,13.7555
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-04,13.6904
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-05,13.495
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-06,13.0311
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-07,12.4451
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-08,12.1846
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-09,11.7939
