RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PctOfHomesIncreasingInValues
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-09,98.45
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-10,98.71
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-11,98.82
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-12,98.99
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-01,98.75
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-02,98.72
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-03,97.98
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-04,97.82
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-05,97.27
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-06,97.55
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-07,97.15
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-08,97.21
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-09,91.14
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-10,89.49
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-11,88.48
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-12,88.39
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-01,85.16
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-02,81.95
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-03,79.22
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-04,75.72
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-05,71.53
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-06,60.89
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-07,49.7
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-08,41.49
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-09,34.99
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-10,30.42
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-11,25.87
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-12,21.67
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-01,20.76
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-02,20.09
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-03,21.06
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-04,20.76
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-05,21.09
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-06,23.65
