RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PctOfHomesDecreasingInValues
66133,20009,Washington,DC,Washington,District of Columbia,25,2003-10,3.92
66133,20009,Washington,DC,Washington,District of Columbia,25,2003-11,3.31
66133,20009,Washington,DC,Washington,District of Columbia,25,2003-12,3.58
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-01,4.06
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-02,2.64
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-03,3.02
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-04,2.4
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-05,2.04
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-06,2.25
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-07,2.37
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-08,2.9
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-09,1.1
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-10,0.83
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-11,0.9
66133,20009,Washington,DC,Washington,District of Columbia,25,2004-12,0.6
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-01,0.84
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-02,0.84
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-03,1.41
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-04,1.61
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-05,1.9
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-06,1.88
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-07,2.18
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-08,2.04
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-09,5
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-10,7.06
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-11,7.77
66133,20009,Washington,DC,Washington,District of Columbia,25,2005-12,7.62
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-01,9.41
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-02,11.14
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-03,12.65
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-04,15.02
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-05,17.35
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-06,26.04
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-07,34.87
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-08,44.04
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-09,50.07
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-10,56.78
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-11,62.97
66133,20009,Washington,DC,Washington,District of Columbia,25,2006-12,68.41
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-01,69.69
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-02,70.91
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-03,69.66
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-04,68.91
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-05,67.25
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-06,62.97
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-07,59.27
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-08,53.54
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-09,45.82
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-10,42.96
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-11,41.11
66133,20009,Washington,DC,Washington,District of Columbia,25,2007-12,37.91
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-01,36.69
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-02,37.94
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-03,43.45
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-04,44.4
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-05,48.17
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-06,52.15
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-07,55.87
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-08,60.45
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-09,67.72
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-10,68.6
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-11,69.11
66133,20009,Washington,DC,Washington,District of Columbia,25,2008-12,68.08
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-01,72.91
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-02,72.63
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-03,69.23
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-04,67.56
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-05,68.52
