,Stat,ML#,Address,List Price,Close Price,Close Date,Bedrooms,Baths Full,Baths Half,Levels,Fireplaces,Basement Y/N,Acres,Year Built,DOMP,Total Taxes,Tax Total Living Area,Zip
0,Sold,DC6140877DC6140877,3106 10th St Ne,"$375,000","$375,000",09-Oct-2006,3,1,1,2,1,Yes,0.06,1940,188,,"1,418",20017
1,Sold,DC5544393DC5544393,4716 8th St Ne,"$385,000","$385,000",11-Oct-2006,3,1,1,3,0,Yes,0.07,1949,158,"$1,830","1,187",20017
2,Sold,DC6113834DC6113834,3000 7th St NE #203,"$175,000","$185,000",11-Oct-2006,1,1,0,1,0,No,0.0,1967,72,,592,20017
3,Sold,DC6136786DC6136786,2805 5th St Ne,"$295,000","$295,000",11-Oct-2006,4,1,1,3,0,Yes,0.035,1926,21,"$1,905","1,260",20017
4,Sold,DC6161889DC6161889,844 Delafield St Ne,"$339,000","$349,000",13-Oct-2006,3,1,0,3,0,Yes,0.035,1948,34,"$1,436","1,491",20017
5,Sold,DC6048580DC6048580,401 Evarts St NE #402,"$279,000","$279,000",17-Oct-2006,2,1,0,1,0,No,0.0,1957,117,$0,,20017
6,Sold,DC6169060DC6169060,4826 10th St Ne,"$359,900","$359,900",18-Oct-2006,3,1,1,3,0,Yes,0.055,1948,26,"$2,082","1,223",20017
7,Sold,DC6197499DC6197499,3014 10th St Ne,"$379,900","$355,000",23-Oct-2006,3,1,0,3,1,Yes,0.057,1925,19,"$1,896","1,110",20017
8,Sold,DC6178063DC6178063,3416 9th St Ne,"$350,000","$300,000",25-Oct-2006,3,1,0,2,0,Yes,0.024,1925,15,"$1,035",,20017
9,Sold,DC6114679DC6114679,4927 11th St Ne,"$349,000","$349,000",26-Oct-2006,3,1,0,3,0,Yes,0.067,1949,90,"$1,745","1,044",20017
10,Sold,DC6149920DC6149920,910 Girard St Ne,"$293,500","$280,000",30-Oct-2006,2,1,0,3,0,Yes,0.043,1927,90,"$1,574",966,20017
11,Sold,DC6105442DC6105442,4718 6th Pl Ne,"$359,000","$355,000",31-Oct-2006,3,2,1,3,0,Yes,0.069,1977,113,"$2,297","1,218",20017
12,Sold,DC6173982DC6173982,4754 6th Pl Ne,"$341,000","$351,000",31-Oct-2006,3,2,1,3,0,Yes,0.069,1976,25,,,20017
13,Sold,DC6180745DC6180745,2707 6th St Ne,"$330,000","$340,000",31-Oct-2006,2,2,0,3,0,Yes,0.048,1925,4,"$2,035","1,286",20017
14,Sold,DC6195152DC6195152,5024 6th Pl Ne,"$275,000","$300,000",01-Nov-2006,2,1,0,3,0,Yes,0.038,1949,9,$0,816,20017
15,Sold,DC6059797DC6059797,711 Hamlin St NE #4,"$129,900","$123,000",06-Nov-2006,1,1,0,1,0,No,0.0,1937,139,,,20017
16,Sold,DC6101076DC6101076,3000 7th St NE #202,"$179,999","$179,999",08-Nov-2006,1,1,0,1,0,No,0.0,1967,80,$838,682,20017
17,Sold,DC6159096DC6159096,3719 14th St Ne,"$425,000","$375,000",13-Nov-2006,3,1,2,3,1,Yes,0.154,1930,55,"$3,713","1,434",20017
18,Sold,DC6195647DC6195647,420 Evarts St NE #7,"$249,000","$249,000",13-Nov-2006,1,1,0,1,0,No,0.0,1935,26,"$2,176",749,20017
19,Sold,DC6154074DC6154074,1244 Farragut Pl Ne,"$360,000","$355,000",17-Nov-2006,3,1,1,3,0,Yes,0.046,1951,87,"$1,749","1,120",20017
20,Sold,DC6165718DC6165718,1508 Lawrence St Ne,"$524,900","$520,000",17-Nov-2006,3,3,0,3,0,Yes,0.124,1919,55,"$2,809","1,379",20017
21,Sold,DC6187492DC6187492,911 Irving St Ne,"$519,000","$509,000",20-Nov-2006,4,2,1,3,1,Yes,0.076,1925,25,"$1,703","1,610",20017
22,Sold,DC6141558DC6141558,4918 7th Street NE #4918,"$521,240","$515,136",21-Nov-2006,3,3,1,3,1,Yes,0.0,2006,84,,,20017
23,Sold,DC6202327DC6202327,3111 13th St Ne,"$394,900","$383,000",28-Nov-2006,4,2,1,3,0,Yes,0.042,1926,49,"$1,825","1,328",20017
24,Sold,DC6150149DC6150149,1026 Monroe St Ne,"$629,000","$620,000",06-Dec-2006,4,2,1,3,0,Yes,0.172,1910,114,"$1,724","1,508",20017
25,Sold,DC6228217DC6228217,1519 Otis St Ne,"$370,000","$370,000",07-Dec-2006,3,1,0,2,1,Yes,0.09699999999999999,1929,9,"$3,178","1,330",20017
26,Sold,DC6221453DC6221453,659 Girard St Ne,"$400,000","$415,000",07-Dec-2006,3,2,1,3,0,Yes,0.051,1927,26,"$2,468","1,716",20017
27,Sold,DC6189258DC6189258,4912 11th St Ne,"$375,000","$388,500",08-Dec-2006,3,2,0,3,0,Yes,0.046,1948,63,"$1,737","1,260",20017
28,Sold,DC6210396DC6210396,3111 Hawthorne Dr NE #3111,"$275,000","$310,000",08-Dec-2006,2,1,1,2,1,No,0.0,1981,28,"$2,453","1,200",20017
29,Sold,DC6203135DC6203135,917 Hamlin St Ne,"$350,000","$335,000",11-Dec-2006,3,1,0,3,0,Yes,0.044000000000000004,1925,35,"$1,867","1,224",20017
30,Sold,DC6121495DC6121495,2825 7th St Ne,"$379,900","$379,000",21-Dec-2006,4,3,1,3,0,Yes,0.047,1925,150,"$1,923","1,312",20017
31,Sold,DC5573618DC5573618,715 Hamlin Street St E ##3,"$109,000","$100,000",22-Dec-2006,1,1,0,1,0,No,0.0,1937,205,$0,,20017
