,Stat,ML#,Address,List Price,Close Price,Close Date,Bedrooms,Baths Full,Baths Half,Levels,Fireplaces,Basement Y/N,Acres,Year Built,DOMP,Total Taxes,Tax Total Living Area,Zip
0,Sold,DC6249759DC6249759,915 E NW #715,"$812,400","$809,900",31-Jan-2007,2,2,0,1,0,No,0.0,2006,0,,,20004
1,Sold,DC6264693DC6264693,915 E St NW #508,"$434,900","$434,900",05-Dec-2006,1,1,0,1,0,No,0.0,2006,0,,,20004
2,Sold,DC6268597DC6268597,E St NW #401,"$319,900","$319,900",20-Dec-2006,1,1,0,1,0,No,0.0,2006,0,,,20004
3,Sold,DC6269000DC6269000,E St NW #406,"$234,900","$234,900",21-Dec-2006,0,1,0,1,0,No,0.0,2006,0,,,20004
4,Sold,DC6269012DC6269012,E St NW #504,"$245,900","$245,900",21-Dec-2006,0,1,0,1,0,No,0.0,2006,0,,,20004
5,Sold,DC6269776DC6269776,E St NW #606,"$257,900","$257,900",23-Dec-2006,0,1,0,1,0,No,0.0,2006,0,,,20004
6,Sold,DC6272211DC6272211,E St NW #404,"$229,900","$229,900",29-Dec-2006,0,1,0,1,0,No,0.0,2006,0,,,20004
7,Sold,DC6272220DC6272220,E St NW #603,"$354,900","$354,900",29-Dec-2006,1,1,0,1,0,No,0.0,2006,0,,,20004
8,Sold,DC6272843DC6272843,E St NW #704,"$264,900","$264,900",31-Dec-2006,0,1,0,1,0,No,0.0,2006,0,,,20004
9,Sold,DC6279869DC6279869,915 E  Street NW #506,"$245,900","$245,900",08-Jan-2007,0,1,0,1,0,No,0.0,2007,0,,,20004
10,Sold,DC6301114DC6301114,E St NW #607,"$359,900","$359,900",08-Dec-2006,1,1,0,1,0,No,0.0,2006,0,,,20004
11,Sold,DC6318134DC6318134,915 E St NW #913,"$449,900","$449,900",19-Feb-2007,2,1,0,1,0,No,0.0,2006,0,,,20004
12,Sold,DC6372716DC6372716,915 E St NW #516,"$540,000","$540,000",30-Mar-2007,2,2,0,2,0,No,0.0,2006,0,,,20004
13,Sold,DC6483100DC6483100,915 E St NW #1014,"$399,000","$370,000",20-Jul-2007,1,1,0,1,0,No,0.0,2006,0,$0,705,20004
14,Sold,DC6535855DC6535855,915 E St NW #1003,"$399,900","$399,900",11-Sep-2007,1,1,0,1,0,No,0.0,2007,0,,,20004
15,Sold,DC6535894DC6535894,915 E St NW #1212,"$402,900","$391,900",28-Aug-2007,1,1,0,1,0,No,0.0,2006,0,$0,610,20004
16,Sold,DC6536518DC6536518,809 6th St NW #P4,"$45,000","$45,000",11-Sep-2007,0,0,0,0,0,No,0.0,2005,0,,,20004
17,Sold,DC6617679DC6617679,915 E St NW #613,"$434,900","$434,900",15-Mar-2007,1,1,0,1,0,No,0.0,2007,0,$0,786,20004
18,Sold,DC6746390DC6746390,915 E St NW #101,"$225,000","$225,000",30-Apr-2008,0,1,0,1,0,No,0.0,2007,0,$0,510,20004
