,Stat,ML#,Address,List Price,Close Price,Close Date,Bedrooms,Baths Full,Baths Half,Levels,Fireplaces,Basement Y/N,Acres,Year Built,DOMP,Total Taxes,Tax Total Living Area,Zip
0,Sold,DC7480472DC7480472,2 S St NE #Xx,"$120,000","$278,000",28-Oct-2011,2,2,1,1,0,No,0.0,1905,0,"$3,233",942,20002
1,Sold,DC7628245DC7628245,713 Florida Ave Ne,"$199,000","$200,000",27-Apr-2012,4,3,0,2,0,No,0.035,1915,0,"$3,122","1,440",20002
2,Sold,DC7649630DC7649630,401 13th St NE #313,"$391,450","$391,450",02-Nov-2011,1,1,0,1,0,No,0.0,2007,0,"$2,998",935,20002
3,Sold,DC7684277DC7684277,2319 North Capitol St Ne,"$230,000","$200,000",16-Nov-2011,3,2,0,3,0,Yes,0.039,1920,0,"$2,510","1,860",20002
4,Sold,DC7689182DC7689182,203 S St Ne,"$435,000","$435,000",04-Nov-2011,4,3,1,3,0,Yes,0.037000000000000005,1923,0,"$2,577","1,432",20002
5,Sold,DC7706883DC7706883,232 Warren St Ne,"$443,000","$443,000",11-Oct-2011,2,1,0,2,1,No,0.036000000000000004,1917,0,"$2,878",780,20002
6,Sold,DC7706934DC7706934,428 10th St Ne,"$710,000","$710,000",11-Oct-2011,3,1,1,3,1,Yes,0.035,1913,0,"$5,542","1,374",20002
7,Sold,DC7708401DC7708401,1518 Constitution Ave Ne,"$350,000","$112,500",26-Oct-2011,1,1,0,2,0,No,0.015,1912,0,"$1,686",792,20002
8,Sold,DC7709943DC7709943,2206 Rand Pl Ne,"$169,900","$130,000",12-Feb-2012,3,2,0,3,1,Yes,0.092,1930,0,"$2,548","1,534",20002
9,Sold,DC7712731DC7712731,222 14th Pl Ne,"$399,900","$399,900",17-Oct-2011,3,1,0,2,1,No,0.028999999999999998,1917,0,"$3,191","1,101",20002
10,Sold,DC7724193DC7724193,125 15th St NE #4,"$555,000","$555,000",23-Dec-2011,3,2,1,3,0,No,0.0,2011,0,,,20002
11,Sold,DC7730439DC7730439,1741 Lyman Pl Ne,"$248,000","$250,000",30-Dec-2011,3,2,1,3,0,Yes,0.027999999999999997,1937,0,"$1,957",992,20002
12,Sold,DC7730594DC7730594,614 11th St Ne,"$404,900","$404,900",02-Nov-2012,2,2,1,3,3,Yes,0.042,1910,0,"$3,993","1,754",20002
13,Sold,DC7736468DC7736468,2123 3 St Ne,"$180,000","$180,000",31-Oct-2011,3,2,0,3,0,Yes,0.0,1906,0,,,20002
14,Sold,DC7739277DC7739277,526 24th St Ne,"$299,000","$290,000",10-Jan-2012,2,2,0,3,0,Yes,0.037000000000000005,1928,0,"$2,223","1,240",20002
15,Sold,DC7753009DC7753009,1211 17th St Ne,"$175,000","$175,000",08-Jun-2012,4,1,0,3,0,Yes,0.045,1927,0,"$2,115","1,170",20002
16,Sold,DC7753973DC7753973,144 Uhland Ter Ne,"$195,000","$205,000",31-Jan-2012,3,1,0,3,0,Yes,0.028999999999999998,1912,0,"$1,936","1,152",20002
17,Sold,DC7761247DC7761247,1323 West Virginia Ave Ne,"$175,000","$175,000",05-Mar-2012,3,1,0,3,0,Yes,0.037000000000000005,1926,0,"$2,021","1,460",20002
18,Sold,DC7770146DC7770146,1626 F St Ne,"$109,900","$99,804",01-Mar-2012,2,1,0,3,0,Yes,0.024,1927,0,"$2,423","1,000",20002
19,Sold,DC7775036DC7775036,1715 L St Ne,"$270,000","$270,000",15-Mar-2012,2,1,0,2,0,No,0.047,1926,0,"$1,644",879,20002
20,Sold,DC7778886DC7778886,2429 3rd St Ne,"$190,000","$190,000",08-May-2012,3,2,0,3,0,Yes,0.027999999999999997,1925,0,"$2,383","1,504",20002
21,Sold,DC7793925DC7793925,415 E St Ne,"$750,000","$750,000",26-Mar-2012,3,2,1,2,1,No,0.023,1890,0,"$4,989","1,284",20002
22,Sold,DC7798095DC7798095,1835 Capitol Ave Ne,"$224,000","$224,000",22-Dec-2011,5,2,1,2,0,No,0.034,2011,0,,,20002
23,Sold,DC7798104DC7798104,1868 Corcoran St Ne,"$210,000","$210,000",30-Dec-2011,5,2,1,2,0,No,0.037000000000000005,2011,0,,,20002
24,Sold,DC7798112DC7798112,1940 Capitol Ave Ne,"$210,000","$210,000",21-Mar-2012,4,2,1,2,0,No,0.083,2011,0,$0,"1,584",20002
25,Sold,DC7798116DC7798116,1948 Capitol Ave Ne,"$210,000","$210,000",12-Dec-2011,4,2,1,2,0,No,0.083,2011,0,$0,,20002
26,Sold,DC7798141DC7798141,1933 Capitol Ave Ne,"$210,000","$210,000",19-Jul-2012,4,2,1,2,0,No,0.069,2011,0,$375,"1,848",20002
27,Sold,DC7817448DC7817448,2206 Rand Pl Ne,"$369,000","$370,000",06-Jun-2012,4,3,0,3,1,Yes,0.092,1930,0,"$2,314","1,534",20002
28,Sold,DC7818064DC7818064,335 18th St Ne,"$175,000","$235,000",31-May-2012,3,2,0,3,0,Yes,0.035,1936,0,"$2,387","1,188",20002
29,Sold,DC7822463DC7822463,13 Evarts St Ne,"$560,000","$555,000",29-Jun-2012,4,3,1,3,0,Yes,0.039,1921,0,"$2,836","1,974",20002
30,Sold,DC7822710DC7822710,94 15th St NE #94,"$323,000","$323,000",19-Apr-2012,1,1,0,1,1,No,0.0,1980,0,"$2,148",686,20002
31,Sold,DC7829617DC7829617,417 9th St Ne,"$395,000","$357,500",29-Apr-2012,3,1,0,2,2,No,0.035,1912,0,"$4,365","1,418",20002
32,Sold,DC7841111DC7841111,917 Constitution Ave Ne,"$1,099,000","$1,099,000",11-May-2012,3,3,1,3,5,Yes,0.057999999999999996,1910,0,"$10,116","2,558",20002
33,Sold,DC7845559DC7845559,312 Bryant St Ne,"$169,900","$155,250",26-Jul-2012,2,2,0,3,0,Yes,0.024,1925,0,"$1,990","1,028",20002
34,Sold,DC7846798DC7846798,1229 Owen Pl Ne,"$180,000","$180,000",25-May-2012,3,1,0,3,0,Yes,0.03,1928,0,"$2,084","1,310",20002
35,Sold,DC7849471DC7849471,652 G St Ne,"$839,000","$834,000",03-Jul-2012,4,4,1,3,0,Yes,0.037000000000000005,1920,0,"$4,208","1,486",20002
36,Sold,DC7852256DC7852256,1167 Abbey Pl Ne,"$368,000","$368,000",29-May-2012,3,1,0,3,0,Yes,0.024,1925,0,"$2,595",960,20002
37,Sold,DC7853869DC7853869,1020 Florida Ave Ne,"$225,000","$225,000",05-Sep-2012,6,2,0,2,0,No,0.077,1900,0,"$2,429","1,780",20002
38,Sold,DC7854018DC7854018,434 24th St Ne,"$299,000","$294,700",16-Jul-2012,3,2,0,3,0,Yes,0.037000000000000005,1929,0,"$2,294","1,176",20002
39,Sold,DC7879268DC7879268,808 Massachusetts Ave Ne,"$895,000","$895,000",05-Jul-2012,4,3,1,4,1,Yes,0.034,1900,0,"$6,633","2,640",20002
