,Stat,ML#,Address,List Price,Close Price,Close Date,Bedrooms,Baths Full,Baths Half,Levels,Fireplaces,Basement Y/N,Acres,Year Built,DOMP,Total Taxes,Tax Total Living Area,Zip
0,Sold,DC6222858DC6222858,1016 South Carolina Ave Se,"$1,449,000","$1,425,000",16-Nov-2006,4,4,1.0,3,3,Yes,0.016,1880,0,,"2,613",20003
1,Sold,DC6233616DC6233616,1803 Independence Ave Se,"$500,000","$500,000",01-Nov-2006,4,2,0.0,3,0,Yes,0.037000000000000005,1924,0,"$2,760","1,080",20003
2,Sold,DC6246947DC6246947,218 4th St SE #4,"$469,500","$460,000",27-Dec-2006,2,1,0.0,1,0,No,0.0,1875,0,$0,863,20003
3,Sold,DC6256555DC6256555,520 Seward Sq Se,"$525,000","$550,000",13-Dec-2006,3,1,0.0,3,0,No,0.021,1890,0,"$4,553","1,050",20003
4,Sold,DC6266897DC6266897,520 Seward Sq Se,"$525,000","$550,000",15-Dec-2006,3,1,0.0,3,0,No,0.021,1890,0,"$4,553","1,050",20003
5,Sold,DC6299638DC6299638,1520 Independence Ave SE #102,"$407,000","$429,000",29-Jan-2007,2,2,0.0,1,0,No,0.0,1956,0,,,20003
6,Sold,DC6305899DC6305899,1000 New Jersey Ave SE #922,"$365,000","$341,500",02-Feb-2007,1,1,0.0,1,0,No,0.0,2006,0,,,20003
7,Sold,DC6324749DC6324749,1000 New Jersey Ave SE #725,"$252,140","$252,140",01-Dec-2006,0,1,0.0,1,0,No,0.0,2006,0,,,20003
8,Sold,DC6324755DC6324755,1000 New Jersey Ave SE #1219,"$645,017","$645,017",23-Oct-2006,2,2,0.0,1,0,No,0.0,2006,0,,,20003
9,Sold,DC6324779DC6324779,1000 New Jersey Ave SE #1219,"$645,017","$645,017",23-Oct-2006,2,2,0.0,1,0,No,0.0,2006,0,,,20003
10,Sold,DC6439904DC6439904,1740 Bay St Se,"$530,000","$530,000",06-Jun-2007,4,3,0.0,2,0,Yes,0.045,1927,0,"$3,121","1,840",20003
11,Sold,DC6456134DC6456134,218 4th St SE #1,"$349,500","$345,000",21-Aug-2007,1,1,0.0,1,0,No,0.0,1875,0,$0,,20003
12,Sold,DC6502762DC6502762,309 4th St SE #1,"$269,900","$255,000",27-Jul-2007,1,1,0.0,1,1,No,0.0,1900,0,"$2,052",499,20003
13,Sold,DC6503682DC6503682,1510 E St Se,"$525,000","$525,000",31-Aug-2007,3,1,1.0,2,1,No,0.03,1908,0,"$3,937","1,276",20003
14,Sold,DC6514683DC6514683,New Jersey Ave SE #1029,"$394,938","$394,938",30-Jan-2007,1,1,0.0,1,0,No,0.0,2006,0,,,20003
15,Sold,DC6515763DC6515763,409-411 17th St Se,"$275,000","$275,000",07-Sep-2007,2,2,0.0,2,1,No,0.023,1948,0,"$3,179",,20003
16,Sold,DC6635888DC6635888,1391 Pensylvania Ave SE #502,"$389,900","$389,900",16-Nov-2007,1,1,0.0,1,0,No,0.0,2007,0,,,20003
17,Sold,DC6655494DC6655494,1628 C St SE #104,"$259,500","$250,000",06-Jun-2008,1,1,0.0,1,0,No,0.0,1953,0,"$7,959",,20003
18,Sold,DC6671052DC6671052,1391 Pennsylvania Ave SE #442,"$325,900","$325,900",13-Mar-2008,1,1,0.0,1,0,No,0.0,2007,0,,,20003
19,Sold,DC6679079DC6679079,1000 New Jersey Ave SE #1005,"$338,900","$336,900",29-Feb-2008,1,1,0.0,1,0,No,0.0,2006,0,"$409,254",,20003
20,Sold,DC6686764DC6686764,631 Ellen Wilson Pl Se,"$565,000","$550,000",18-Apr-2008,2,2,1.0,2,1,No,0.043,2004,0,"$4,584","1,156",20003
21,Sold,DC6705773DC6705773,1391 Pennsylvania Ave SE #218,"$362,900","$362,900",28-Mar-2008,1,1,0.0,1,0,No,0.0,2008,0,,,20003
22,Sold,DC6723892DC6723892,409 17th S,"$289,000","$289,000",09-Apr-2008,1,1,0.0,1,0,No,0.0,1948,0,,,20003
23,Sold,DC6753268DC6753268,101 North Carolina Ave SE #6,"$240,000","$240,000",25-Feb-2008,1,1,0.0,1,0,No,0.0,1800,0,,,20003
24,Sold,DC6753340DC6753340,1000 New Jersey Ave SE #324,"$260,000","$260,000",28-Mar-2008,1,1,0.0,1,1,No,0.0,2006,0,,,20003
25,Sold,DC6753362DC6753362,1000 New Jersey Ave SE #706,"$458,900","$458,900",25-May-2008,2,2,0.0,1,0,No,0.0,2006,0,,,20003
26,Sold,DC6808567DC6808567,410 Kentucky Ave Se,"$579,900","$599,000",25-Jul-2008,3,2,1.0,2,1,No,0.03,1909,0,"$3,890","1,434",20003
27,Sold,DC6871305DC6871305,921 G St Se,"$594,000","$600,000",29-Oct-2008,2,2,0.0,2,1,No,0.025,1900,0,"$3,691","1,064",20003
28,Sold,DC6896844DC6896844,1391 Pennsylvania Ave SE #206,"$357,800","$352,800",05-May-2008,1,1,0.0,0,0,No,0.0,2008,0,,,20003
29,Sold,DC6949702DC6949702,245 15th St SE #103,"$436,900","$420,000",01-Jan-2009,2,2,0.0,1,0,No,0.0,2008,0,,,20003
30,Sold,DC6965976DC6965976,125 10th St Se,"$695,000","$675,000",23-Jan-2009,2,2,1.0,2,1,No,0.032,1908,0,"$6,013","1,268",20003
31,Sold,DC6969898DC6969898,1391 Pennsylvania Ave SE #423,"$412,000","$412,000",27-Aug-2008,2,2,0.0,8,0,No,0.0,2007,0,,,20003
32,Sold,DC6994763DC6994763,245 15th St SE #304,"$379,900","$379,900",16-Oct-2008,1,2,0.0,1,0,No,0.0,2008,0,,,20003
33,Sold,DC7000132DC7000132,1000 New Jersey Ave SE #1020,"$449,900","$449,900",06-Mar-2009,2,2,0.0,1,0,No,0.0,2006,0,,,20003
34,Sold,DC7003558DC7003558,245 15th St SE #305,"$314,000","$314,000",30-Jan-2009,1,1,0.0,1,0,No,0.0,2008,0,,,20003
35,Sold,DC7003563DC7003563,245 15th St SE #204,"$369,900","$369,900",12-Mar-2009,1,2,0.0,1,0,No,0.0,2008,0,,,20003
36,Sold,DC7003566DC7003566,245 15th St SE #202,"$369,900","$394,900",29-Sep-2008,1,2,0.0,1,0,No,0.0,2008,0,,,20003
37,Sold,DC7007492DC7007492,1306 Pennsylvania Ave SE #501,"$569,000","$565,000",30-Apr-2009,2,2,0.0,1,0,No,0.0,2008,0,,,20003
38,Sold,DC7007500DC7007500,1306 Pennsylvania Ave SE #402,"$549,000","$549,000",18-May-2009,2,2,0.0,1,0,No,0.0,2008,0,,,20003
39,Sold,DC7009568DC7009568,245 15th St SE #402,"$379,900","$391,900",26-Mar-2009,2,2,0.0,1,0,No,0.0,2008,0,,,20003
40,Sold,DC7020234DC7020234,1000 New Jersey Ave SE #1110,"$419,900","$419,900",08-Oct-2008,2,2,0.0,1,0,No,0.0,2006,0,,,20003
41,Sold,DC7020267DC7020267,1000 New Jersey Ave SE #1015,"$277,400","$277,400",13-Mar-2009,1,1,0.0,1,0,No,0.0,2006,0,,,20003
42,Sold,DC7026861DC7026861,911911 12th St Se,"$430,000","$430,000",11-Jun-2009,3,1,1.0,2,0,No,0.019,1870,0,"$35,743","1,308",20003
43,Sold,DC7031767DC7031767,245 15th St SE #104,"$475,000","$475,000",20-Oct-2008,2,2,0.0,1,0,No,0.0,2008,0,,,20003
44,Sold,DC7053718DC7053718,245 15th St SE #301,"$365,000","$355,000",22-Jun-2009,1,2,0.0,1,0,No,0.0,2008,0,,,20003
45,Sold,DC7082154DC7082154,1810 Independence Ave Se,"$365,000","$365,000",08-Jun-2009,3,2,0.0,2,0,Yes,0.033,1935,0,"$3,664","1,080",20003
46,Sold,DC7084549DC7084549,1000 New Jersey Ave SE #1020,"$449,900","$449,900",06-Mar-2009,2,2,0.0,1,0,No,0.0,2006,0,,,20003
47,Sold,DC7087067DC7087067,1000 New Jersey Ave SE #1220,"$332,000","$332,000",26-Nov-2008,1,1,0.0,1,0,No,0.0,2006,0,,,20003
48,Sold,DC7113883DC7113883,413 K St Se,"$642,150","$642,150",30-Jun-2009,3,3,1.0,4,1,No,0.0,2009,0,,,20003
49,Sold,DC7135836DC7135836,1391 Pennsylvania Ave SE #259,"$490,900","$409,900",24-Jul-2009,2,2,0.0,1,0,No,0.0,2007,0,"$3,894","1,029",20003
50,Sold,DC7153943DC7153943,227 C St Se,"$935,000","$935,000",01-Sep-2009,2,1,1.0,3,2,Yes,0.027999999999999997,1909,0,"$6,229","1,728",20003
51,Sold,DC7161929DC7161929,401 12th St Se,"$624,955","$625,000",09-Sep-2009,2,2,1.0,2,0,No,0.022000000000000002,1900,0,"$4,514","1,374",20003
52,Sold,DC7165307DC7165307,1027 5th St Se,"$765,185","$765,185",15-Sep-2009,3,3,1.0,4,0,No,0.015,2009,0,,,20003
53,Sold,DC7165311DC7165311,1035 5th St Se,"$715,005","$715,005",31-Aug-2009,3,3,1.0,4,0,No,0.015,2009,0,,,20003
54,Sold,DC7165314DC7165314,418 L St Se,"$913,855","$913,855",29-May-2009,4,3,1.0,4,0,No,0.015,2009,0,,,20003
55,Sold,DC7165317DC7165317,411 L St Se,"$836,520","$836,520",01-Apr-2009,4,3,1.0,4,0,No,0.015,2009,0,,,20003
56,Sold,DC7193689DC7193689,1025 First St SE #1406,"$800,900","$800,900",28-Oct-2009,2,2,0.0,1,0,No,0.0,2009,0,,,20003
57,Sold,DC7193698DC7193698,1025 First St SE #613,"$712,900","$712,900",28-Oct-2009,2,2,0.0,1,0,No,0.0,2009,0,,,20003
58,Sold,DC7193722DC7193722,1025 First St SE #1304,"$400,900","$400,900",28-Oct-2009,1,1,0.0,1,0,No,0.0,2009,0,,,20003
59,Sold,DC7194804DC7194804,1020 Pennsylvania Ave SE #603,"$525,000","$525,000",31-Dec-2008,2,1,0.0,1,0,No,0.0,2008,0,,,20003
60,Sold,DC7212778DC7212778,Pennsylvania Ave SE #543,"$519,000","$492,000",20-Oct-2009,2,2,0.0,1,0,No,0.0,2007,0,,,20003
61,Sold,DC7223545DC7223545,541 Kentucky Ave Se,"$600,000","$600,000",26-Jun-2009,3,1,0.0,3,0,Yes,0.038,1921,0,"$4,296","1,640",20003
62,Sold,DC7236622DC7236622,1391 Pennsylvania Ave SE #402,"$315,000","$315,000",23-Apr-2010,1,1,0.0,1,0,No,0.0,2007,0,,,20003
63,Sold,DC7251027DC7251027,1000 New Jersey Ave SE #Ph-05,"$320,900","$320,900",30-Oct-2009,1,1,0.0,1,0,No,0.0,2009,0,,,20003
64,Sold,DC7293443DC7293443,284 15th St SE #302,"$385,900","$399,900",30-Jun-2010,2,2,0.0,1,0,No,0.0,2009,0,,,20003
65,Sold,DC7295459DC7295459,1025 First St SE #509,"$455,000","$455,000",26-Mar-2010,1,2,0.0,1,0,No,0.0,2009,0,,,20003
