,Stat,ML#,Address,List Price,Close Price,Close Date,Bedrooms,Baths Full,Baths Half,Levels,Fireplaces,Basement Y/N,Acres,Year Built,DOMP,Total Taxes,Tax Total Living Area,Zip
0,,,,,,,,,,,,,,,,,,20011
1,Sold,DC6151367DC6151367,1404 Quincy St Nw,"$485,000 ","$400,000 ",3-Oct-06,3.0,1.0,1.0,3.0,1.0,Yes,0.037000000000000005,1923.0,51.0,"$2,848 ","1,504",20011
2,,,,,,,,,,,,,,,,,,20011
3,Sold,DC6143656DC6143656,4733 9th St Nw,"$589,000 ","$569,000 ",4-Oct-06,3.0,3.0,1.0,2.0,0.0,Yes,0.043,1923.0,10.0,"$2,372 ","1,760",20011
4,,,,,,,,,,,,,,,,,,20011
5,Sold,DC6105453DC6105453,4518 13th St Nw,"$420,000 ","$420,000 ",5-Oct-06,4.0,2.0,1.0,4.0,1.0,Yes,0.054000000000000006,1922.0,248.0,"$2,900 ","1,712",20011
6,,,,,,,,,,,,,,,,,,20011
7,Sold,DC6145533DC6145533,34 Nicholson St Nw,"$445,000 ","$425,000 ",5-Oct-06,5.0,2.0,0.0,2.0,0.0,Yes,0.138,1929.0,46.0,$0 ,"1,000",20011
8,,,,,,,,,,,,,,,,,,20011
9,Sold,DC6162552DC6162552,4616 Kansas Ave Nw,"$399,900 ","$380,000 ",5-Oct-06,4.0,2.0,0.0,2.0,0.0,Yes,0.059000000000000004,1923.0,99.0,"$2,264 ","1,472",20011
10,,,,,,,,,,,,,,,,,,20011
11,Sold,DC6068351DC6068351,4904 4th St Nw,"$399,900 ","$399,900 ",6-Oct-06,3.0,1.0,1.0,3.0,0.0,Yes,0.031,1931.0,276.0,"$1,897 ","1,492",20011
12,,,,,,,,,,,,,,,,,,20011
13,Sold,DC6085369DC6085369,4408 1st Pl NE #B,"$179,500 ","$179,500 ",6-Oct-06,1.0,1.0,0.0,1.0,0.0,No,0.0,1943.0,12.0,,,20011
14,,,,,,,,,,,,,,,,,,20011
15,Sold,DC6152272DC6152272,3824 10th St Nw,"$599,900 ","$610,000 ",6-Oct-06,4.0,3.0,1.0,3.0,1.0,Yes,0.046,1925.0,29.0,,,20011
16,,,,,,,,,,,,,,,,,,20011
17,Sold,DC6157364DC6157364,421 Decatur St Nw,"$510,000 ","$505,000 ",10-Oct-06,4.0,2.0,0.0,3.0,1.0,Yes,0.039,1925.0,28.0,"$2,414 ","1,720",20011
18,,,,,,,,,,,,,,,,,,20011
