RegionID,RegionName,City,State,Metro,CountyName,SizeRank,MedianSoldPricePerSqft,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2002-03,126.5254
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2002-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2002-05,196.8098
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2002-06,216.2116
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2002-07,229.1289
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2002-08,196.284
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2002-09,171.0153
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2002-10,159.0482
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2002-11,169.5912
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2002-12,197.6029
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-01,187.5391
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-02,205.9308
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-03,211.6496
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-04,217.0449
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-05,237.8337
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-06,264.0283
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-07,251.1472
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-08,231.2218
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-09,217.2566
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-10,213.4286
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-11,218.7606
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2003-12,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-01,280.8227
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-02,237.2556
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-03,240.5245
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-04,262.0492
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-05,290.8539
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-06,316.1427
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-07,326.9646
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-08,306.5937
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-09,296.6237
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-10,326.1635
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-11,349.9385
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2004-12,360.1044
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-01,391.063
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-02,378.7686
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-03,373.496
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-04,367.4976
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-05,387.6886
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-06,404.5959
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-07,423.6394
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-08,392.8682
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-09,364.6546
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-10,377.7715
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-11,377.4593
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2005-12,414.0738
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-01,432.6963
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-02,427.7181
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-03,434.9203
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-04,399.3322
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-05,432.1799
