RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianListingPricePerSqft
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-01,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-02,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-03,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-04,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-05,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-06,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-07,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-08,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-09,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-10,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-11,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2010-12,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-01,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-02,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-03,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-04,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-05,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-06,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-07,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-08,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-09,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-10,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-11,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2011-12,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-01,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-02,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-03,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-04,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-05,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-06,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-07,
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-08,458.6395
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-09,467.0474
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-10,477.8024
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-11,474.3772
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2012-12,466.2921
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-01,479.9302
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-02,483.5492
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-03,474.4334
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-04,502.3725
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-05,501.8939
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-06,518.1914
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-07,501.0898
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-08,504.9304
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-09,490.6481
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-10,491.9688
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-11,508.8323
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2013-12,505.0505
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-01,486.5604
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-02,512.1926
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-03,499.2857
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-04,516.3877
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-05,511.9697
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-06,520.1653
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-07,522.2365
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-08,524.8894
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-09,521.4548
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-10,513.0853
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-11,505.8875
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2014-12,517.9521
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-01,538
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-02,548.1407
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-03,520.7585
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-04,528.2264
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-05,534.8837
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-06,526.2038
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-07,509.2593
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-08,506.2048
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-09,511.1964
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-10,520.7484
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-11,526.2632
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2015-12,557.2578
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2016-01,574.8863
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2016-02,564.759
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2016-03,560.166
Columbia Heights,Washington,DC,Washington,District of Columbia,263,2016-04,558.3467
