RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianSoldPrice
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1996-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1996-05,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1996-06,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1996-07,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1996-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1996-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1996-10,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1996-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1996-12,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-03,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-05,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-06,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-07,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-10,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1997-12,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-03,144500
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-05,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-06,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-07,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-10,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1998-12,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-03,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-05,135000
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-06,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-07,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-10,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,1999-12,129000
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-02,116115.4
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-03,102691.2
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-04,90187.5
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-05,97225
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-06,105425
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-07,120000
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-08,119500
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-09,117750
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-10,119100
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-11,126275
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2000-12,131609.5
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-01,121724.2
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-02,138435.4
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-03,161377.5
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-04,171601
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-05,166447.5
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-06,143106.1
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-07,153550
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-08,149000
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-09,143950
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-10,149300
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2001-12,175384.6
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-01,171176.5
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-02,172250
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-03,180500
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-04,179900
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-05,171050
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-06,157715
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-07,165500
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-08,186600
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-09,193085
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-10,191600
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-11,192150
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2002-12,204100
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-01,214500
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-02,214250
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-03,211750
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-04,230175
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-05,250325
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-06,259325
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-07,256790
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-08,227500
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-09,218935
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-10,205950
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-11,197075
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2003-12,203225
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-01,213325
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-02,211450
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-03,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-04,305885
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-05,294255
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-06,277945
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-07,306715
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-08,335750
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-09,366285
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-10,321750
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-11,314400
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2004-12,303850
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2005-01,308575
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2005-02,341225
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2005-03,390460
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2005-04,405840
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2005-05,411775
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2005-06,402975
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2005-07,409707.5
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2005-08,415645.3
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2005-09,397227.3
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2005-10,388510
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,275,2005-11,383742.5
