RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,ZhvAvgAllYoY
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2002-12,0.314166
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-01,0.313906
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-02,0.305888
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-03,0.297126
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-04,0.286597
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-05,0.278422
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-06,0.261872
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-07,0.250442
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-08,0.235294
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-09,0.226327
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-10,0.21607
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-11,0.203335
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2003-12,0.194909
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-01,0.188327
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-02,0.18953
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-03,0.189636
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-04,0.190617
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-05,0.1902
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-06,0.200717
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-07,0.215145
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-08,0.236345
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-09,0.258657
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-10,0.279356
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-11,0.29368
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2004-12,0.298935
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-01,0.29928
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-02,0.292965
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-03,0.284722
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-04,0.274899
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-05,0.26441
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-06,0.250448
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-07,0.233838
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-08,0.212121
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-09,0.184319
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-10,0.155205
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-11,0.1314
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2005-12,0.114557
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-01,0.099042
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-02,0.08646
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-03,0.07715
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-04,0.069847
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-05,0.061264
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-06,0.049176
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-07,0.034694
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-08,0.022664
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-09,0.015563
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-10,0.013435
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-11,0.009005
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2006-12,0.00092
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-01,-0.00642
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-02,-0.01166
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-03,-0.01277
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-04,-0.01297
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-05,-0.01023
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-06,-0.00683
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-07,-0.00137
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-08,0.002513
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-09,0.006176
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-10,0.008229
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-11,0.011899
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2007-12,0.01654
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-01,0.020309
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-02,0.020824
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-03,0.015943
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-04,0.008758
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-05,-0.00023
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-06,-0.00916
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-07,-0.01942
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-08,-0.02894
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-09,-0.03751
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-10,-0.04557
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-11,-0.05246
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2008-12,-0.05763
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-01,-0.06062
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-02,-0.06188
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-03,-0.06163
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-04,-0.06191
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-05,-0.0627
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-06,-0.06289
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-07,-0.0594
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-08,-0.05351
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-09,-0.047
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-10,-0.04133
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-11,-0.03675
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2009-12,-0.03141
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-01,-0.02215
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-02,-0.01305
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-03,-0.0017
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-04,0.009985
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-05,0.023279
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-06,0.036763
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-07,0.040862
