,exp_var_score,mse,process_time,r2_score,estimator,mae
0,0.5165587093921453,576373.3143036973,960.545655488968,0.7787620617213973,SVR,256.9574661642973
0,0.5293527856657099,558637.9098794211,45.554661512374885,0.789899935492733,TSR,248.7189822182177
0,0.5263799466704718,558774.4800469626,20.627897024154663,0.7997458862911876,LCV,255.9850177185889
0,0.5264018036834235,558748.7298121807,7.3405518531799325,0.801160042516674,RCV,257.99031322685875
0,0.5252160189757193,560147.7005987897,69.83925223350525,0.8015559417270484,ENCV,258.55571342443847
0,0.5306909345521147,555434.8341855254,10.956866264343262,0.8021029458438631,HR,249.3832205944074
0,0.5277058650721099,557396.116457894,16.094948053359985,0.8034657471775087,PAR,255.85548976364868
0,0.5203243311989939,565930.8557469363,23.66800570487976,0.8042035022348143,SGDR,262.1406962228761
0,0.5281924589945605,557351.1433986461,107.3212432861328,0.8231798112155426,KNNR,243.82039218067024
0,0.5250883606437138,560441.9815132668,24.645116806030273,0.8307958113839085,RFR,250.9034993194619
0,0.5257505019853934,559644.1951455725,33.52360939979553,0.8355012206302975,GBR,248.5216802894978
0,0.5286393303768515,556157.788919172,15.3687584400177,0.8358814819104001,ETR,242.08198016641288
