,Rank,Rank_Year,School,School URL,District,District URL,City,City URL,Zip,County,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score,Rank Change from Prior Year,SchoolDigger Star Rating
15,16,2009-10,Cesar Chavez Pcs For Public Policy Chavez Prep,https://www.schooldigger.com/go/DC/schools/0000500377/school.aspx,Cesar Chavez Public Pcs,https://www.schooldigger.com/go/DC/district/00005/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20010,District Of Columbia,06,9,Yes,Yes,No,No,231,22.0,10.5,89.6,38.1,0.0,1.3,60.2,,,0.4,68.6,,4
16,17,2009-10,Seed Pcs Of Washington Dc,https://www.schooldigger.com/go/DC/schools/0002200236/school.aspx,Seed Pcs Of Washington Dc,https://www.schooldigger.com/go/DC/district/00022/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,06,12,Yes,Yes,No,No,337,46.0,7.3,77.5,99.1,0.0,0.0,0.6,,,0.3,66.8,,4
17,18,2009-10,Community Academy Capcs Online,https://www.schooldigger.com/go/DC/schools/0000700380/school.aspx,Community Academy Pcs,https://www.schooldigger.com/go/DC/district/00007/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20005,District Of Columbia,KG,8,Yes,Yes,No,Yes,110,1.0,110.0,0.0,72.7,0.0,0.9,2.7,,,23.6,66.8,,4
18,19,2009-10,Center City Trinidad Campus Pcs,https://www.schooldigger.com/go/DC/schools/0007300403/school.aspx,Center City Pcs,https://www.schooldigger.com/go/DC/district/00073/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,PK,8,Yes,Yes,No,No,198,18.0,11.0,19.7,98.5,0.0,0.0,1.5,,,0.0,65.2,,3
19,20,2009-10,Center City Petworth Campus Pcs,https://www.schooldigger.com/go/DC/schools/0007300395/school.aspx,Center City Pcs,https://www.schooldigger.com/go/DC/district/00073/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,PK,8,Yes,Yes,No,No,224,22.0,10.1,71.0,72.8,0.0,0.0,27.2,,,0.0,62.1,,3
20,21,2009-10,Mary McLeod Bethune Day Academy Pcs Slowe Campus,https://www.schooldigger.com/go/DC/schools/0004400275/school.aspx,Mary McLeod Bethune Pcs,https://www.schooldigger.com/go/DC/district/00044/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20017,District Of Columbia,PK,8,Yes,Yes,No,No,265,27.0,9.8,97.0,97.7,0.0,0.0,2.3,,,0.0,60.5,,3
21,22,2009-10,Takoma Ec,https://www.schooldigger.com/go/DC/schools/0003000011/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20012,District Of Columbia,PK,8,Yes,No,No,No,303,30.0,10.1,78.6,74.9,0.3,0.0,23.4,,,1.3,60.2,,3
22,23,2009-10,Jefferson Middle School,https://www.schooldigger.com/go/DC/schools/0003000145/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20024,District Of Columbia,06,8,(n/a),No,(n/a),No,313,27.0,11.5,77.3,89.8,0.0,7.7,2.6,,,0.0,56.0,,3
23,24,2009-10,Cesar Chavez for Public Policy Parkside Middle School PCS,https://www.schooldigger.com/go/DC/schools/0000500328/school.aspx,Cesar Chavez Public Pcs,https://www.schooldigger.com/go/DC/district/00005/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,06,8,Yes,Yes,No,No,725,61.0,11.8,81.5,90.8,0.0,0.7,7.9,,,0.7,54.0,,3
24,25,2009-10,Whittier Ec,https://www.schooldigger.com/go/DC/schools/0003000065/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,PK,8,Yes,No,No,No,429,39.0,11.0,86.5,81.1,0.0,0.2,18.2,,,0.5,52.9,,3
25,26,2009-10,Brightwood Ec,https://www.schooldigger.com/go/DC/schools/0003000112/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,PK,8,Yes,No,No,No,529,52.0,10.1,93.4,32.3,0.0,0.9,66.4,,,0.4,49.8,,3
26,27,2009-10,Brookland Ec At Bunker Hill,https://www.schooldigger.com/go/DC/schools/0003000111/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20017,District Of Columbia,PK,8,Yes,No,No,No,359,37.0,9.7,69.6,93.9,0.0,0.0,6.1,,,0.0,49.5,,3
