RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PctOfHomesIncreasingInValues
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2002-12,97.78
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-01,97.28
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-02,95.72
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-03,96.32
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-04,95.47
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-05,96.18
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-06,96.07
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-07,96.96
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-08,97.17
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-09,95.72
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-10,95.69
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-11,95.58
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-12,94.55
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-01,93.35
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-02,95.3
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-03,94.68
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-04,95.01
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-05,95.27
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-06,94.81
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-07,94.62
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-08,93.67
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-09,97.23
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-10,98.73
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-11,98.86
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-12,98.79
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-01,98.47
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-02,98.56
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-03,97.61
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-04,98.25
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-05,98.1
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-06,98.38
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-07,98.25
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-08,98.19
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-09,92.98
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-10,93.64
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-11,92.66
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-12,90.76
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-01,86.93
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-02,84.6
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-03,83.36
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-04,80.81
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-05,76.44
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-06,67.22
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-07,56.03
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-08,52.94
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-09,48.53
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-10,45.4
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-11,37.94
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-12,33.11
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-01,31.68
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-02,28.33
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-03,29.69
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-04,30.25
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-05,31.91
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-06,34.17
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-07,37.67
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-08,39.39
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-09,43.95
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-10,45.86
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-11,48.92
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-12,50.66
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-01,52.28
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-02,50.89
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-03,41.36
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-04,37.07
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-05,32.78
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-06,28.91
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-07,23.23
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-08,17.97
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-09,13.24
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-10,11.48
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-11,10.78
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-12,10.73
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-01,11.29
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-02,11.87
