RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PctOfHoemsDecreasingInValues
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2002-12,1.95
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-01,2.3
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-02,3.71
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-03,3.22
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-04,3.68
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-05,2.97
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-06,3.15
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-07,2.37
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-08,2.19
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-09,2.86
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-10,3.43
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-11,3.29
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2003-12,4
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-01,5.58
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-02,4.24
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-03,4.79
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-04,4.47
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-05,3.98
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-06,4.34
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-07,4.79
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-08,5.32
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-09,1.83
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-10,0.98
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-11,0.82
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2004-12,0.91
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-01,1.13
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-02,0.95
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-03,1.62
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-04,1.13
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-05,1.2
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-06,0.92
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-07,1.29
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-08,1.23
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-09,4.94
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-10,4.27
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-11,4.7
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2005-12,5.57
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-01,9.18
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-02,10.65
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-03,11.06
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-04,13.01
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-05,14.96
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-06,21.38
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-07,31.21
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-08,34.09
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-09,37.98
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-10,42.62
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-11,49.81
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2006-12,56.07
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-01,56.51
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-02,60.28
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-03,58.23
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-04,58.18
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-05,56.96
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-06,52.44
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-07,48.11
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-08,46.48
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-09,41.86
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-10,39.25
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-11,37.48
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2007-12,34.27
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-01,32.76
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-02,34.02
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-03,43.25
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-04,48.45
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-05,54.56
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-06,59.82
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-07,65.37
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-08,72.67
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-09,79.44
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-10,82.8
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-11,83.9
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2008-12,84.5
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-01,84.03
