RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianSoldPrice
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-01,330625
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-02,313800
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-03,318400
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-04,330600
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-05,368675
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-06,356075
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-07,370000
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-08,355650
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-09,367600
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-10,364175
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-11,358575
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-12,351350
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-01,346300
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-02,356900
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-03,381295
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-04,396586.5
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-05,386233.5
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-06,382575
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-07,393900
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-08,397700
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-09,399250
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-10,399215
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-11,399485
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-12,429650
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-01,411850
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-02,417650
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-03,425265
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-04,436735
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-05,444250
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-06,408450
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-07,404415
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-08,408200
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-09,417985
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-10,438600
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-11,422200
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-12,420325
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-01,372375
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-02,353500
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-03,371115
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-04,424600
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-05,452085
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-06,437900
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-07,406600
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-08,393500
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-09,392800
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-10,384700
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-11,369250
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-12,378333
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-01,421495.6
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-02,387587.4
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-03,375750
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-04,382400
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-05,426500
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-06,420849.5
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-07,433999.7
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-08,411999.9
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-09,415600
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-10,408715
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-11,387985
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-12,348650
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-01,376865
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-02,389985
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-03,387000
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-04,433500
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-05,447025
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-06,456725
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-07,428200
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-08,392965
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-09,395000
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-10,447100
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-11,457625
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-12,473275
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-01,449700
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-02,408300
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-03,418800
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-04,438850
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-05,465375
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-06,455725
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-07,466000
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-08,466500
